s,cdf_zeros,cdf_gue_mean,cdf_gue_q025,cdf_gue_q975,cdf_poisson_ensemble_mean,cdf_wigner_surmise,cdf_poisson
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.004976633852925941,1.3509233142902644e-07,0.00498752080731768
0.01,0.0,6.675565195071697e-07,0.0,0.0,0.009897192958213254,1.0806767320094973e-06,0.009950166250831893
0.015,0.0,3.004004337782264e-06,0.0,0.0,0.014907538415374337,3.6469357054397245e-06,0.014888060396937353
0.02,0.0,8.344456493839621e-06,0.0,1.6672224074676398e-05,0.01984044731627256,8.6434327722755e-06,0.019801326693244747
0.025,0.0,1.7356469507186406e-05,0.0,0.00033344448149383126,0.024662541834932637,1.6878803347823712e-05,0.024690087971667385
0.03,0.0,2.9706265118068998e-05,0.0,0.00033344448149383126,0.02951734662304849,2.9160446062929946e-05,0.029554466451491845
0.035,0.0,4.4392508547226754e-05,0.0,0.00033344448149383126,0.03436847985030713,4.629421467517575e-05,0.03439458374243354
0.04,0.0,7.076099106776009e-05,0.0,0.00033344448149383126,0.03920826461673411,6.908411071729348e-05,0.03921056084767682
0.045,0.0,9.846458662730778e-05,0.0,0.0006668889629876625,0.04406674096570728,9.833197702915214e-05,0.04400251816690004
0.05,0.0,0.00013618152997946304,0.0,0.0006668889629876625,0.04882541761501422,0.00013483719231952018,0.048770575499285984
0.055,0.0,0.00017523358637063267,0.0,0.0006668889629876625,0.053567739129593124,0.0001793963669027704,0.05351485204651618
0.06,0.0,0.00023397856008726387,0.0,0.0010003334444814939,0.058255321009572356,0.00023280303975516115,0.05823546641575128
0.065,0.0,0.00029806398595995067,0.0,0.0010003334444814939,0.06298896428939783,0.0002958473770347525,0.06293253662259657
0.07,0.0,0.00038284366393735915,0.0,0.001333777925975325,0.0676865595171696,0.000369315872207579,0.06760618009405173
0.075,0.0,0.00046161533323920394,0.0,0.001333777925975325,0.07242787969696936,0.0004539910479227499,0.07225651367144714
0.08,0.0,0.0005570759155287286,0.0,0.0016672224074691564,0.07707006773362236,0.0005506511597765662,0.07688365361336424
0.085,0.0,0.0006645525151693811,0.0,0.0016672224074691564,0.08170357753552147,0.0006600699021066386,0.08148771559854262
0.09,0.0,0.0007973962625513067,0.0,0.0020006668889629878,0.08632106598095261,0.0007830161159535914,0.08606881472877181
0.095,0.0,0.0009422560272843643,0.0,0.0020006668889629878,0.09086946232661476,0.0009202534993286854,0.09062706553176858
0.1,0.00033344448149383126,0.0010911211311344635,0.0,0.002334111370456819,0.09536311903767727,0.001072540319922849,0.09516258196404048
0.105,0.00033344448149383126,0.0012526698088551973,0.00033344448149383126,0.00266755585195065,0.09992720296154778,0.0012406291303918016,0.09967547741373439
0.11,0.0010003334444814939,0.001433911403901392,0.00033344448149383126,0.0030010003334444814,0.104401166755285,0.0014252664863506348,0.10416586470347178
0.115,0.0010003334444814939,0.001647863268403443,0.00033344448149383126,0.003334444814938313,0.10880603844925298,0.0016271926672090098,0.10863385609316867
0.12,0.0010003334444814939,0.001863817802464015,0.00033344448149383126,0.003334444814938313,0.11326164443870326,0.0018471413999766872,0.11307956328284252
0.125,0.0010003334444814939,0.002109812379902412,0.0006668889629876625,0.003667889296432144,0.11760777115895481,0.0020858395861682033,0.11750309741540454
0.13,0.0010003334444814939,0.002386514557238132,0.0010003334444814939,0.004334778259419807,0.12200529973120804,0.0023440070319317996,0.1219045690794387
0.135,0.001333777925975325,0.0026728963041067044,0.0010003334444814939,0.004668222740913638,0.12635409667753797,0.002622356181527702,0.12628408831196558
0.14,0.0016672224074691564,0.0029649522813910917,0.001333777925975325,0.005001667222407469,0.1307339350020246,0.002921591854278316,0.13064176460119414
0.145,0.0020006668889629878,0.003280038958598477,0.001333777925975325,0.0053351117039013,0.13504167722240412,0.0032424109851098004,0.1349777068892587
0.15,0.00266755585195065,0.003617822557469104,0.0016672224074691564,0.0056685561853951315,0.1393437452123679,0.003585502368804283,0.1392920235749422
0.155,0.0030010003334444814,0.003979971969301739,0.0020006668889629878,0.006335445148382794,0.14368019236308668,0.003951546408077572,0.1435848225163865
0.16,0.0030010003334444814,0.004375499207109744,0.002334111370456819,0.006668889629876626,0.14795188653141284,0.004341214865597742,0.14785621103378865
0.165,0.0030010003334444814,0.004809410944789397,0.00266755585195065,0.007335778592864288,0.15223526293883052,0.004755170620054733,0.15210629591208413
0.17,0.0040013337779259755,0.005244324017248318,0.0030010003334444814,0.008002667555851951,0.15648693041157205,0.005194067426390614,0.1563351834036163
0.17500000000000002,0.0040013337779259755,0.005708275798305809,0.003334444814938313,0.008336112037345782,0.16076930548421048,0.0056585496802978585,0.16054297923079264
0.18,0.0040013337779259755,0.0061915867184289975,0.003667889296432144,0.009003001000333445,0.16496456443105323,0.006149252187088672,0.164729788588728
0.185,0.0040013337779259755,0.006707274129748277,0.0040013337779259755,0.009669889963321108,0.1690917326129063,0.006666799935038242,0.16889571614787435
0.19,0.0040013337779259755,0.007265017601796513,0.004334778259419807,0.010336778926308769,0.17323392081644826,0.007211807873300585,0.1730408660566377
0.195,0.004334778259419807,0.007827433969481297,0.005001667222407469,0.011003667889296432,0.17734306497227476,0.00778488069449304,0.1771653419439816
0.2,0.005001667222407469,0.008447927754363229,0.0053351117039013,0.011670556852284094,0.18145721580199717,0.008386612622044182,0.18126924692201818
0.20500000000000002,0.006002000666888963,0.00910380203477902,0.006002000666888963,0.012670890296765588,0.18557170040998003,0.009017587202395205,0.18535268358858548
0.21,0.006668889629876626,0.009759008758675308,0.006668889629876626,0.013337779259753251,0.18955400882709986,0.00967837710214392,0.18941575402981292
0.215,0.007002334111370457,0.01047896846496379,0.007002334111370457,0.014338112704234745,0.19366782587856252,0.010369543910215162,0.19345855982267313
0.22,0.00766922307435812,0.011224295318993528,0.007985995331777261,0.015005001667222408,0.19765380585654044,0.011091637945143562,0.1974812020375215
0.225,0.009336445481827277,0.011980970633854915,0.008336112037345782,0.015688562854284747,0.20165647474750473,0.011845198067543028,0.20148378124062294
0.23,0.009336445481827277,0.012740316174794304,0.009003001000333445,0.016672224074691565,0.20563811560810605,0.012630751497845205,0.20546639749666595
0.23500000000000001,0.010336778926308769,0.013576430715477044,0.009669889963321108,0.017689229743247735,0.20958571108621146,0.013448813639375612,0.20942915037126442
0.24,0.011003667889296432,0.014432571951745004,0.01065355118372791,0.018672890963654553,0.21351895409914742,0.014299887906842057,0.21337213893344653
0.245,0.011337112370790263,0.015294053640168977,0.011320440146715573,0.019673224408136045,0.21743650953387575,0.015184465560299898,0.21729546175813186
0.25,0.011337112370790263,0.016178899806775743,0.012004001333777926,0.020673557852617538,0.2214061343771247,0.01610302554466042,0.22119921692859512
0.255,0.012004001333777926,0.01712649628621618,0.012670890296765588,0.022007335778592863,0.2252652786163954,0.017056034334801684,0.22508350203891903
0.26,0.01300433477825942,0.01813851196978908,0.013671223741247083,0.02300766922307436,0.2291063988296395,0.018043945786342885,0.22894841419643375
0.265,0.014338112704234745,0.019181235253259245,0.014338112704234745,0.024341447149049684,0.23292582345599974,0.019067200992133715,0.23279405002414433
0.27,0.015005001667222408,0.020260006588782832,0.015005001667222408,0.025341780593531177,0.23674191029976246,0.020126228144513036,0.23662050566314685
0.275,0.01533844614871624,0.021361141067709897,0.01633877959319773,0.026675558519506502,0.24057268338695442,0.02122144240338414,0.24042787677503152
0.28,0.017005668556185394,0.02249865737695013,0.017339113037679228,0.027675891963987995,0.2443577288525604,0.022353245770151797,0.24421625854427453
0.28500000000000003,0.018672890963654553,0.02368290264255589,0.018672890963654553,0.02900966988996332,0.2480930413574628,0.023522026967563836,0.24798574568061738
0.29,0.02100700233411137,0.024925892881878207,0.019673224408136045,0.030343447815938646,0.2518510507840284,0.02472816132549499,0.25173643242143473
0.295,0.02334111370456819,0.026143849751719024,0.020673557852617538,0.032010670223407804,0.2556187397801269,0.025972010672708823,0.2554684125340906
0.3,0.025341780593531177,0.02743490406044586,0.022007335778592863,0.03334444814938313,0.2593420362676781,0.02725392323462994,0.2591817793182821
0.305,0.02567522507502501,0.028765677982083446,0.02300766922307436,0.034678226075358455,0.2630179362423445,0.028574233537155103,0.2628766256083722
0.31,0.027009003001000332,0.030125824390579266,0.024341447149049684,0.03602867622540846,0.26667147307360733,0.029933262316528597,0.26655304377571076
0.315,0.028342780926975657,0.03152034995982977,0.02567522507502501,0.03767922640880293,0.2703383610352603,0.031331316435304124,0.2702111257309432
0.32,0.02867622540846949,0.032995983646200364,0.026675558519506502,0.03901300433477826,0.27398488852306785,0.032768688804411805,0.27385096292630906
0.325,0.029676558852950983,0.03451901384545598,0.028009336445481828,0.04101367122374125,0.27760204352401724,0.03424565831134668,0.2774726463579278
0.33,0.03267755918639546,0.036070081418530915,0.029676558852950983,0.0426808936312104,0.28123955899881237,0.035762489754489146,0.28107626656807383
0.335,0.03434478159386462,0.037624820552463085,0.03134378126042014,0.04434811603867956,0.28484536553892964,0.03731943378356767,0.2846619136474401
0.34,0.03567855951983995,0.03925532735135937,0.03267755918639546,0.04601533844614872,0.2884101173530982,0.038916726846269345,0.28822967723739035
0.34500000000000003,0.03634544848282761,0.040902856841503056,0.03401133711237079,0.04768256085361787,0.2919505033543042,0.04055459114099963,0.2917796465322
0.35000000000000003,0.03701233744581527,0.04261447175751942,0.03567855951983995,0.049016338779593195,0.29549923381200466,0.042233234575790535,0.29531191028128656
0.355,0.038012670890296765,0.044345779590861265,0.037345781927309106,0.051033677892630865,0.29899489352640357,0.04395285073335348,0.29882655679142756
0.36,0.039679893297765924,0.046146179523972125,0.038996332110703566,0.053351117039013005,0.3025432902058448,0.04571361884226921,0.302323673928969
0.365,0.040680226742247416,0.04801033110469588,0.040680226742247416,0.05501833944648216,0.30607499797229715,0.04751570375430314,0.3058033491220211
0.37,0.04334778259419807,0.04986713956370504,0.042347449149716575,0.057035678559519826,0.30951892205643483,0.04935925592783347,0.3092656693626453
0.375,0.045015005001667226,0.05176834053126151,0.044014671557185726,0.05901967322440813,0.31295416790581876,0.05124441141737329,0.31271072120902776
0.38,0.04601533844614872,0.05374831316811982,0.045681893964654885,0.061020340113371124,0.3163743937335137,0.05317129186916847,0.31613859078764417
0.385,0.04701567189063021,0.055750648948381505,0.04768256085361787,0.06335445148382794,0.31977259019606485,0.055140004522844954,0.3195493637954123
0.39,0.04934978326108703,0.05774931316778599,0.04968322774258086,0.06535511837279093,0.3231437506195759,0.05715064221908256,0.32294312550183535
0.395,0.05035011670556852,0.05980738991742646,0.051683894631543846,0.06768922974324774,0.32650022479965785,0.05920328341328168,0.32631996075113234
0.4,0.054018006002000664,0.061909859175614375,0.053351117039013005,0.07002334111370456,0.3299014252665468,0.06129799219519261,0.3296799539643607
0.405,0.05735245081693898,0.06407174096403837,0.05568522840946982,0.07235745248416138,0.3332378727510435,0.06343481831447201,0.3330231891415256
0.41000000000000003,0.05901967322440813,0.06630471752178987,0.05801933977992664,0.07437479159719905,0.3365843335833335,0.06561379721212535,0.3363497498636806
0.41500000000000004,0.06035345115038346,0.06856306122728266,0.06035345115038346,0.07702567522507503,0.339878725007101,0.06783495005779694,0.33965971929501715
0.42,0.06202067355785262,0.07084176540662035,0.06268756252084028,0.07904301433811269,0.3431981498003503,0.07009828379285882,0.34295318018494325
0.425,0.06402134044681561,0.07316920121188214,0.0650216738912971,0.0820273424474825,0.3464635025155194,0.0724037911792561,0.3462302148701527
0.43,0.06668889629876626,0.07556072244301655,0.06735578526175391,0.08436145381793932,0.3497168392133376,0.07475145085405382,0.3494909052766835
0.435,0.06968989663221074,0.07792988053074745,0.06935645215071691,0.08702900966988997,0.35296550301551943,0.07714122738963491,0.35273533292196535
0.44,0.07169056352117373,0.08030738307497214,0.07202400800266756,0.08937979326442146,0.3562054885829475,0.07957307135949249,0.3559635789168586
0.445,0.07302434144714905,0.08282974538392991,0.07467489163054353,0.09171390463487827,0.35940041408530815,0.08204691940955855,0.35917572396768127
0.45,0.07435811937312438,0.08540451087966916,0.0766922307435812,0.09471490496832276,0.36261002583109875,0.0845626943350068,0.36237184837822667
0.455,0.07602534178059353,0.08800430974489003,0.07869289763254418,0.09736578859619874,0.36579226775959006,0.08712030516246827,0.3655520320517718
0.46,0.07869289763254418,0.09060978284052633,0.08136045348449483,0.10036678892964321,0.3689554843272741,0.08971964723758974,0.36871635449307405
0.465,0.08036012004001333,0.09330370717499765,0.08402800933644548,0.10336778926308769,0.3721353898079472,0.09236060231786952,0.3718648948103592
