tau,k_connected_zeros,k_gue_mean,k_gue_q025,k_gue_q975,k_poisson_mean,k_gue_limit_min_tau_1
0.02,2.7409220077551296e-09,0.019984875829877673,0.009593748458653848,0.03471881542996762,1.0102475034669487,0.02
0.04,3.8757284208203655e-08,0.03992587052923045,0.019423314359959,0.06748784564081718,0.9840241049335191,0.04
0.06,5.923256953160084e-06,0.06012259011785582,0.029110003795035568,0.10028915350189839,0.9912589606587693,0.06
0.08,0.032868278622334234,0.078937942957367,0.03761931933300642,0.1335708934196091,1.0052592947718508,0.08
0.1,8.958333664826016e-07,0.09829396764742718,0.046734559371010884,0.16659692215803837,1.014091258972812,0.1
0.12000000000000001,0.9214202963068139,0.12230478729307892,0.05629622618880964,0.21541923392939366,1.002759055576166,0.12000000000000001
0.13999999999999999,1.3659643461558783e-05,0.14060472460826745,0.0656218438863423,0.24084963052345792,0.9969587109108963,0.13999999999999999
0.16,6.692262944284997e-05,0.16180512127766922,0.07646268239544618,0.27766211998213564,0.9823095150085924,0.16
0.18,0.04312634398733557,0.1801830155255028,0.08305690677170133,0.30478902977416394,0.9731205873707448,0.18
0.19999999999999998,6.879360347319144e-05,0.20214715143438275,0.10204115590970975,0.3458686573146579,0.9964844103104793,0.19999999999999998
0.22,0.0010241752569305537,0.22378807853316893,0.10969624477166155,0.3814202175962,0.9998406892484892,0.22
0.24,0.2814013649406506,0.23913838757121234,0.11063874940208666,0.41056074276929594,0.989760625352033,0.24
0.26,1.1266802961319116,0.26282778887542424,0.126991652939718,0.44160725537674667,1.0166990786024739,0.26
0.28,1.05991451836053,0.27996860085681075,0.13085279729663443,0.49240908802290423,1.0069911890385803,0.28
0.30000000000000004,0.05855751291132194,0.3042481509696095,0.1524230976521785,0.5147885536364237,0.9980277086368623,0.30000000000000004
0.32,1.0511667979150856,0.32181312656087224,0.15576999163903033,0.5516914927378403,1.0024359106838836,0.32
0.34,0.8705094004592124,0.33814625017373284,0.16141633113402376,0.5924449342393797,0.990968071796889,0.34
0.36000000000000004,0.08030662893846349,0.36225150111779314,0.17502844992016325,0.6256688055590542,0.9904997740458363,0.36000000000000004
