bin_low,bin_high,count,r2_zeros,r2_montgomery_bin_average,r2_gue_q025,r2_gue_q975,r2_poisson_mean
0.0,0.1,1,0.0033329640405992357,0.010880075773905347,0.0,0.02333726676431752,1.0004431480144254
0.1,0.2,23,0.07666072951198885,0.07413404796904365,0.04666322518520551,0.10663183545469178,0.999864117825782
0.2,0.30000000000000004,48,0.15999294523977722,0.19095854114451255,0.14998077617420355,0.23686108057284708,0.9972175263473915
0.30000000000000004,0.4,87,0.2899968850722223,0.34397032721535337,0.2800957699712242,0.4065350728575177,0.9978355887919508
0.4,0.5,131,0.4366765406674886,0.5115819583831043,0.44344752839106505,0.5901574643483232,0.9983087429103622
0.5,0.6000000000000001,207,0.6900386177726862,0.6721885543830428,0.5934058361204092,0.7674560546395748,1.0016071631208472
0.6000000000000001,0.7000000000000001,243,0.810072353721902,0.8080880987057939,0.7201252061643677,0.8967479883389147,1.0006000889974254
0.7000000000000001,0.8,256,0.8534380250488509,0.9082828445338809,0.8138935241625599,1.0005446037302437,1.0006675010197355
0.8,0.9,321,1.070166971200898,0.9696220624379864,0.8707352133518773,1.0769794712339593,0.998435666827539
0.9,1.0,290,0.9668497652468924,0.9961768215519745,0.8835514174968826,1.100146563346631,1.0009171725335286
1.0,1.1,309,1.0302294623942445,0.9971682598039076,0.8835712181714388,1.1068202089387826,0.9995659411113506
1.1,1.2000000000000002,301,1.003590335108862,0.9840897678865965,0.8798285782103604,1.087496551662268,0.9964384418337208
1.2000000000000002,1.3,277,0.9236006559699937,0.9677947309947522,0.8636818535526888,1.0704459865980807,1.0015168364661053
1.3,1.4000000000000001,268,0.8936217839486998,0.9562443325964873,0.8533854670675788,1.0608308116480853,0.9998932136916882
1.4000000000000001,1.5,309,1.0303669561282693,0.9533617580525252,0.846887990749663,1.0542607204158616,0.9982857270144034
1.5,1.6,295,0.9837164851534096,0.9591011977685195,0.8569559148336089,1.056869952087497,0.9945548005087576
1.6,1.7000000000000002,300,1.0004230259791873,0.9705117715364148,0.8705969158334407,1.0707060537113622,0.9988292203748272
1.7000000000000002,1.8,291,0.9704427160192991,0.9833461401644016,0.8776266578157437,1.0846268347837615,1.0021739181443643
1.8,1.9000000000000001,274,0.913780677408776,0.993684068203446,0.8907430169864361,1.1002664868761445,1.0003867749535507
1.9000000000000001,2.0,294,0.980512715936909,0.999117942057802,0.9006027787507941,1.1075387658008629,0.998733603972124
2.0,2.1,309,1.0305732655549102,0.9992406350449041,0.8970262565031981,1.1073267208284117,0.9968074850440086
2.1,2.2,328,1.0939783559396783,0.9954171041495951,0.89720361116064,1.110874033487417,1.0021449054280154
