s,cdf_zeros,cdf_gue_mean,cdf_gue_q025,cdf_gue_q975,cdf_poisson_ensemble_mean,cdf_wigner_surmise,cdf_poisson
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.004977635187705199,1.3509233142902644e-07,0.00498752080731768
0.01,0.0,6.675565195071697e-07,0.0,0.0,0.00994725969717633,1.0806767320094973e-06,0.009950166250831893
0.015,0.0,2.002669558521509e-06,0.0,0.0,0.014879834819814778,3.6469357054397245e-06,0.014888060396937353
0.02,0.0,9.012013013346791e-06,0.0,0.00033344448149383126,0.01978737657297176,8.6434327722755e-06,0.019801326693244747
0.025,0.0,1.769024776693999e-05,0.0,0.00033344448149383126,0.02465252848714,1.6878803347823712e-05,0.024690087971667385
0.03,0.0,3.104137815708333e-05,0.0,0.00033344448149383126,0.029581098270661427,2.9160446062929946e-05,0.029554466451491845
0.035,0.00033344448149383126,4.9065404183776995e-05,0.0,0.00033344448149383126,0.03441120346755555,4.629421467517575e-05,0.03439458374243354
0.04,0.00033344448149383126,7.242988236652802e-05,0.0,0.00033344448149383126,0.03923196287317667,6.908411071729348e-05,0.03921056084767682
0.045,0.00033344448149383126,0.00010246992574435076,0.0,0.0006668889629876625,0.043975285722534715,9.833197702915214e-05,0.04400251816690004
0.05,0.00033344448149383126,0.00014052064735625965,0.0,0.0006668889629876625,0.04880806114550696,0.00013483719231952018,0.048770575499285984
0.055,0.00033344448149383126,0.00018324426460471872,0.0,0.0006668889629876625,0.0536188072033354,0.0001793963669027704,0.05351485204651618
0.06,0.00033344448149383126,0.00023631500790553898,0.0,0.0010003334444814939,0.058275013926897885,0.00023280303975516115,0.05823546641575128
0.065,0.00033344448149383126,0.0003070759989732971,0.0,0.0010003334444814939,0.06288082013323763,0.0002958473770347525,0.06293253662259657
0.07,0.00033344448149383126,0.00039085434217144493,0.0,0.001333777925975325,0.06757140601755467,0.000369315872207579,0.06760618009405173
0.075,0.00033344448149383126,0.0004719624592915648,0.0,0.001333777925975325,0.0721682002108811,0.0004539910479227499,0.07225651367144714
0.08,0.00033344448149383126,0.0005697594893993643,0.0,0.0016672224074691564,0.07679069533020853,0.0005506511597765662,0.07688365361336424
0.085,0.00033344448149383126,0.0006742320847022368,0.0,0.0016672224074691564,0.08149797012751336,0.0006600699021066386,0.08148771559854262
0.09,0.00033344448149383126,0.000788050471278209,0.0,0.0020006668889629878,0.08608374963826772,0.0007830161159535914,0.08606881472877181
0.095,0.00033344448149383126,0.0009332440142710182,0.0,0.0020006668889629878,0.09068721939678921,0.0009202534993286854,0.09062706553176858
0.1,0.00033344448149383126,0.0010777700007443185,0.0,0.002334111370456819,0.09516285208182505,0.001072540319922849,0.09516258196404048
0.105,0.0006668889629876625,0.001253671143634455,0.00033344448149383126,0.00266755585195065,0.0996501670059524,0.0012406291303918016,0.09967547741373439
0.11,0.0006668889629876625,0.0014379167430184374,0.00033344448149383126,0.0030010003334444814,0.10412179435187101,0.0014252664863506348,0.10416586470347178
0.115,0.0010003334444814939,0.0016535374988192555,0.00033344448149383126,0.003334444814938313,0.10859776081516669,0.0016271926672090098,0.10863385609316867
0.12,0.0010003334444814939,0.0018751662632956348,0.0006668889629876625,0.003667889296432144,0.11303100366121377,0.0018471413999766872,0.11307956328284252
0.125,0.0010003334444814939,0.0021174892798767387,0.0006668889629876625,0.003667889296432144,0.11746324517248154,0.0020858395861682033,0.11750309741540454
0.13,0.0010003334444814939,0.002379505213783303,0.0006668889629876625,0.004334778259419807,0.12186043996647512,0.0023440070319317996,0.1219045690794387
0.135,0.0016672224074691564,0.002680239425821284,0.0010003334444814939,0.004668222740913638,0.12620623290846691,0.002622356181527702,0.12628408831196558
0.14,0.0020006668889629878,0.0029716278465861607,0.0010003334444814939,0.005001667222407469,0.13049328087674197,0.002921591854278316,0.13064176460119414
0.145,0.002334111370456819,0.0033227625758469295,0.001333777925975325,0.0053351117039013,0.13486243829691658,0.0032424109851098004,0.1349777068892587
0.15,0.00266755585195065,0.0036522017182237226,0.0016672224074691564,0.0056685561853951315,0.1391528240477891,0.003585502368804283,0.1392920235749422
0.155,0.00266755585195065,0.00403270893434281,0.0020006668889629878,0.006335445148382794,0.14347024583770185,0.003951546408077572,0.1435848225163865
