run_block,prime,repetition,period_theoretical,period_observed,absolute_error,error_in_fwhm,fwhm_instrument,amplitude_real,amplitude_imag,z_primary,p_adjusted,coefficient_theoretical,fit_coefficient_real,fit_coefficient_imag,fit_ratio_to_theory,fit_phase_error_rad,detection_limit_coefficient,predicted_detectable,z_predicted,clearly_detectable,detected,inconclusive_candidate_within_tolerance,resolved,nearest_neighbor_separation,ratio_to_theory__band_no_conjugate,ratio_to_theory__centers_conjugate
b10,2,1,0.6931471805599453,0.6931476886828553,5.081229099701545e-07,8.923323510229345e-05,0.005694323526292222,14.46154682277866,84.84971136141884,6.150593581489336,0.0001,-0.1560129290391036,-0.15601292903075883,-1.2613073129344454e-11,0.9999999999465123,8.084633246554659e-11,0.08310686065815909,True,6.1802746896847625,True,True,False,True,0.4054651081081645,1.0000000000742166,0.9999999999677294
b10,3,1,1.0986122886681098,1.098612274027178,1.4640931800258272e-08,2.5711450592255877e-06,0.005694323526292222,52.69497097007639,-98.1362083684725,7.9854287675877105,0.0001,-0.20189889986939866,-0.2018988998122002,9.308226411874898e-11,0.9999999997166975,-4.610340333965717e-10,0.08323756503163576,True,7.985436311765055,True,True,False,True,0.2876820724517808,0.9999999997324719,0.9999999996918353
b10,2,2,1.3862943611198906,1.386294777706022,4.165861313687458e-07,7.315814239307894e-05,0.005694323526292222,57.426889526021355,-20.160998609611987,4.272827465336356,0.0002,-0.1103178000763258,-0.11031780013154986,-2.2276694378042805e-11,1.0000000005005907,2.0193200328032897e-10,0.08490738881810063,True,4.277442424867521,False,True,False,True,0.2231435513142097,1.0000000005034564,1.0000000005223486
b10,5,1,1.6094379124341003,1.6094373888956373,5.235384630264406e-07,9.19404140999581e-05,0.005694323526292222,-125.6444250952156,13.800279753003727,8.565138481287338,0.0001,-0.22910752440522542,-0.22910752442467394,-3.78890807617438e-11,1.000000000084888,1.6537685026665716e-10,0.0876599152509143,True,8.604435257572382,True,True,False,True,0.2231435513142097,1.0000000000761142,1.0000000002915241
b10,7,1,1.9459101490553132,1.9459106236989596,4.746436463864967e-07,8.335382494425184e-05,0.005694323526292222,7.428037067170448,-128.94727712454434,8.855296708707066,0.0001,-0.23411211608563706,-0.23411211615781277,3.323891357466524e-11,1.0000000003082954,-1.419786131541317e-10,0.08657010158145347,True,8.903074926707793,True,True,False,True,0.13353139262452252,1.0000000002963705,1.0000000001862341
b10,2,3,2.0794415416798357,,,,0.005694323526292222,,,,,-0.0780064645195518,-0.07800646460608085,-2.1668133433350167e-11,1.000000001109255,2.777735607269281e-10,0.08968560154593765,False,2.8634653646254313,False,False,False,True,0.11778303565638382,1.0000000011504073,1.0000000004637604
b10,3,2,2.1972245773362196,2.197224841531396,2.6419517640263734e-07,4.639623568678127e-05,0.005694323526292222,35.52520583221604,53.60750920803747,4.234257795561432,0.0002,-0.1165663841886866,-0.11656638424361121,-1.153706557371903e-10,1.0000000004711873,9.897420811824964e-10,0.08992915000122635,True,4.267336609907123,False,True,False,True,0.11778303565638382,1.0000000004737122,1.000000000356959
b10,11,1,2.3978952727983707,2.3978957538111785,4.810128078069908e-07,8.447233557876111e-05,0.005694323526292222,114.92558710521669,-53.96993639115124,8.100837275471871,0.0001,-0.23013570108523157,-0.23013570116539883,-3.305545377349506e-11,1.0000000003483478,1.4363461907954064e-10,0.09304033964444366,True,8.143231365007784,True,True,False,True,0.16705408466316607,1.000000000346068,1.0000000005641083
b10,13,1,2.5649493574615367,2.5649495443147625,1.8685322578093633e-07,3.28139461901286e-05,0.005694323526292222,122.40168403497378,25.003398052392974,8.056030261568615,0.0001,-0.22644213759952758,-0.22644213750522918,-4.7691641434643994e-11,0.9999999995835651,2.1061292725848195e-10,0.09252025626008745,True,8.057577362035632,True,True,False,True,0.16705408466316607,0.9999999995877316,0.999999999587106
b10,2,4,2.772588722239781,,,,0.005694323526292222,,,,,-0.0551589000381629,-0.05515890006779319,3.998439079833105e-11,1.0000000005371805,-7.248946362089912e-10,0.09529599495801522,False,1.9055704663940796,False,False,False,True,0.06062462181643502,1.0000000005455028,1.000000001493533
b10,17,1,2.833213344056216,2.8332131399469724,2.0410924372882278e-07,3.584433564169572e-05,0.005694323526292222,120.25658145340613,-10.018122813415546,7.279215158975287,0.0001,-0.21872828371837585,-0.21872828367204702,-6.406127017744012e-11,0.99999999978819,2.9288059642753464e-10,0.09891195274856206,True,7.280148435833822,True,True,False,True,0.06062462181643502,0.9999999997929789,0.999999999475895
b10,19,1,2.9444389791664403,2.9444395177086906,5.385422503501047e-07,9.457528148225341e-05,0.005694323526292222,118.24873027910186,-9.468370573399314,7.056813771644576,0.0001,-0.21501852841127717,-0.21501852847965283,-1.363292725237164e-10,1.000000000317999,6.340349991587689e-10,0.10014309014491958,True,7.068690420673934,True,True,False,True,0.1112256351102241,1.0000000003134448,1.000000000822882
b10,23,1,3.1354942159291497,3.135493729980878,4.859482718444497e-07,8.53390696191911e-05,0.005694323526292222,-63.40053044092438,-95.72343444012871,6.51861346107331,0.0001,-0.20810964733659634,-0.20810964739421714,1.4116808416675397e-10,1.0000000002768772,-6.783351273443976e-10,0.10455322315011721,True,6.552980151724351,True,True,False,True,0.08338160893905089,1.0000000002707212,1.0000000009369
b10,5,2,3.2188758248682006,3.2188752966799843,5.28188216275538e-07,9.27569734731002e-05,0.005694323526292222,-55.1807347688545,12.268529483782753,3.293534488920971,0.0456,-0.10245999974535523,-0.10245999958401916,9.866617245446463e-11,0.9999999984253751,-9.629726025282333e-10,0.10222018398832866,True,3.2999074303137883,False,True,False,True,0.07696104113612856,0.9999999984257282,0.9999999969756496
b10,3,3,3.295836866004329,,,,0.005694323526292222,,,,,-0.06729963328979954,-0.06729963305412827,8.961587721900699e-11,0.999999996498179,-1.3315953319824203e-09,0.10350623481447015,False,2.1405740291811095,False,False,False,True,0.07145896398214502,0.9999999964977384,0.9999999990401165
b10,29,1,3.367295829986474,3.367296444924917,6.149384428333349e-07,0.0001079914830961042,0.005694323526292222,-91.85480458877201,60.16956892079021,6.209584115500251,0.0001,-0.1990363509339811,-0.19903635105660494,-5.120725371510204e-11,1.0000000006160878,2.5727588675768553e-10,0.10516680538631218,True,6.230713530311284,True,True,False,True,0.06669137449867213,1.0000000006144076,0.9999999998546293
b10,31,1,3.4339872044851463,3.4339869398669367,2.646182095666916e-07,4.6470526015053096e-05,0.005694323526292222,107.71435474623487,-11.353720172666833,6.0846247886878615,0.0001,-0.1963215403858554,-0.1963215402703365,-1.5126105923357613e-10,0.9999999994115831,7.704761231258083e-10,0.10622001064972049,True,6.08479116294551,True,True,False,True,0.03174869831458027,0.999999999407732,1.0000000002390819
b10,2,5,3.4657359027997265,,,,0.005694323526292222,,,,,-0.0390032322597759,-0.039003232310975536,-1.553063233572516e-11,1.0000000013127024,3.981883401841757e-10,0.10930526697323571,False,1.1747449178056162,False,False,False,True,0.03174869831458027,1.0000000013387713,0.9999999951651305
b10,37,1,3.6109179126442243,3.6109176751380896,2.3750613475925775e-07,4.1709280068585514e-05,0.005694323526292222,-103.20205914453852,-14.743607103933048,5.6858620229744155,0.0001,-0.1889586950119591,-0.18895869518188207,-1.2706040690077525e-10,1.0000000008992598,6.724242394798151e-10,0.10853363682682383,True,5.731741426275077,True,True,False,True,0.1026541540600836,1.000000000903257,0.9999999998196676
b10,41,1,3.713572066704308,3.7135714761840672,5.905202407063825e-07,0.00010370331751959507,0.005694323526292222,0.4831253627798627,-101.84717782567223,5.361231713752895,0.0001,-0.184607803637099,-0.1846078033305724,8.173195453764492e-11,0.9999999983395793,-4.4273293470314274e-10,0.11312986767315716,True,5.372257751441121,True,True,False,True,0.047628048989254435,0.9999999983428006,0.9999999972654439
b10,43,1,3.7612001156935624,3.7611996158914702,4.998020921576085e-07,8.777198728696885e-05,0.005694323526292222,99.47569221686427,-15.83028655432415,5.378691767471232,0.0001,-0.18257543342631882,-0.18257543349199246,-7.962241976855466e-13,1.000000000359707,4.361069736802614e-12,0.11133479173004616,True,5.398778432461571,True,True,False,True,0.047628048989254435,1.00000000036311,0.9999999995765525
b10,47,1,3.8501476017100584,3.8501470359430807,5.657669777114904e-07,9.935631073633106e-05,0.005694323526292222,26.52925450714758,94.98828368693368,5.028501300656414,0.0001,-0.17876338822837304,-0.1787633882665844,-1.914433125915771e-10,1.0000000002137537,1.0709313268670177e-09,0.11646858834506514,True,5.053052737555167,True,True,False,True,0.04167269640056803,1.0000000002100324,1.0000000027242146
b10,7,2,3.8918202981106265,,,,0.005694323526292222,,,,,-0.08848606258138285,-0.0884860625303461,9.603871864438673e-11,0.9999999994232228,-1.085354189101255e-09,0.11508841121677307,False,2.531205122593754,False,False,False,True,0.04167269640056803,0.9999999994296368,0.9999999962885044
b10,53,1,3.970291913552122,3.970292205905107,2.9235298493190953e-07,5.134112657667539e-05,0.005694323526292222,1.5241389086757497,-95.76075279880533,4.951660148381524,0.0001,-0.1735939685443537,-0.17359396870340907,2.015395320249802e-10,1.0000000009162495,-1.1609823401717201e-09,0.11451090315657841,True,4.990819424335229,True,True,False,True,0.0784716154414955,1.0000000009187444,0.9999999994688046
b10,59,1,4.07753744390572,4.077537821516523,3.776108030706382e-07,6.631354915594586e-05,0.005694323526292222,-83.77190858292141,40.90534720905644,4.769565642753411,0.0001,-0.16897485378921837,-0.16897485402366144,-3.0189517552514644e-11,1.0000000013874435,1.786627822639647e-10,0.11658731418856882,True,4.771499104991369,False,True,False,True,0.03333642026759165,1.0000000013896346,1.0000000028408191
b10,61,1,4.110873864173311,4.1108735802996055,2.838737058752372e-07,4.985205083000922e-05,0.005694323526292222,-45.48436673613857,-80.46854930640343,4.629605737024314,0.0001,-0.16754032791775322,-0.1675403277123727,-6.538242169895625e-12,0.9999999987741428,3.9024885883715396e-11,0.11911863603103744,True,4.630455493283292,False,True,False,True,0.03333642026759165,0.999999998775606,0.9999999938565182
b10,2,6,4.1588830833596715,,,,0.005694323526292222,,,,,-0.02757945001908145,-0.027579450021237625,3.44731188040015e-13,1.0000000000781806,-1.2499567169561175e-11,0.12107268935528714,False,0.7499347479791605,False,False,False,True,0.04580953603129423,1.000000000087069,0.9999999962030466
b10,67,1,4.204692619390966,4.204692171324678,4.480662880723685e-07,7.868648242473861e-05,0.005694323526292222,14.79757648313157,-88.98515373737587,4.47676174587751,0.0002,-0.16351100147025147,-0.16351100166630086,3.169602080799194e-11,1.0000000011989982,-1.9384641085300379e-10,0.11995322898708885,True,4.4876512630265255,False,True,False,True,0.04580953603129423,1.0000000011995507,1.0000000045085615
b10,71,1,4.2626798770413155,4.2626814658578285,1.5888165130206744e-06,0.00027901760510878627,0.005694323526292222,72.56969038343831,-51.26740881284719,4.3003375335139795,0.0002,-0.16102884271275783,-0.16102884284405808,9.381689869414345e-11,1.0000000008153833,-5.82609283139398e-10,0.12301005521496197,True,4.30970082853773,False,True,False,True,0.027779564107075494,1.0000000008168701,1.0000000079054738
b10,73,1,4.290459441148391,4.290458715103953,7.260444379042497e-07,0.0001275031941111016,0.005694323526292222,8.413747603652423,-87.79658790820463,4.337374210559252,0.0002,-0.1598425863444375,-0.15984258652306266,2.2419052725375366e-10,1.0000000011175068,-1.4025706923943368e-09,0.12106007736346823,True,4.346859628850858,False,True,False,True,0.027779564107075494,1.0000000011170593,1.0000000095722126
b10,79,1,4.3694478524670215,4.3694486784596425,8.259926209674973e-07,0.0001450554428728307,0.005694323526292222,55.63488014700172,66.01821231478482,4.122499714181018,0.0002,-0.15648155106679665,-0.1564815508316434,1.2689474471194728e-10,0.9999999984972461,-8.109246364031233e-10,0.12474209565778124,True,4.129848986148367,False,True,False,True,0.02500130220541763,0.9999999984969631,0.9999999887457504
b10,3,4,4.394449154672439,,,,0.005694323526292222,,,,,-0.03885546139622887,-0.03885546167033613,-2.102209378795905e-11,1.000000007054536,5.410331748550087e-10,0.1252034485265948,False,1.021691650973302,False,False,False,True,0.024391453124159135,1.0000000070487445,1.0000000797241806
b10,83,1,4.418840607796598,4.418839903569275,7.042273235668972e-07,0.00012367181462649433,0.005694323526292222,-60.058855148195924,60.41722390379978,4.054846944830624,0.0004,-0.15439008898017337,-0.15439008905472504,-5.6513155266557646e-11,1.0000000004828786,3.660413412063388e-10,0.12462496163652248,True,4.078481013301013,False,True,False,True,0.024391453124159135,1.0000000004843002,1.0000000115053678
b10,89,1,4.48863636973214,4.488635801495597,5.682365422643443e-07,9.978999957425029e-05,0.005694323526292222,27.525780136604975,-78.89430590341584,3.904769431179519,0.0009,-0.15145009428891956,-0.15145009354271144,4.08087910686028e-10,0.9999999950729108,-2.694537197964427e-09,0.12709118913794754,True,3.923179415471406,False,True,False,True,0.06979576193554138,0.9999999950744376,0.9999999681556279
b10,97,1,4.574710978503383,4.5747105074609,4.7104248324103537e-07,8.27214121336987e-05,0.005694323526292222,-53.61769607057694,61.47652518228645,3.7653021328663425,0.0018,-0.14785224441209735,-0.14785224447822493,-1.6084159178142432e-10,1.0000000004472545,1.0878535686018105e-09,0.1284142990224349,True,3.790518329913889,False,True,False,True,0.04040953833787686,1.000000000445716,1.0000000285146624
b10,101,1,4.61512051684126,4.615117079502817,3.4373384423247444e-06,0.000603642983482345,0.005694323526292222,-12.525856587814866,-79.65220160900145,3.688926185703625,0.0035,-0.14617479278578105,-0.14617479347626666,-3.5236411011219104e-11,1.0000000047236983,2.410566840782996e-10,0.1297054423708813,True,3.7102088124473456,False,True,False,True,0.01960847138837618,1.0000000047224495,1.0000000551293904
b10,103,1,4.634728988229636,4.634733160228452,4.171998815749589e-06,0.00073265925205801,0.005694323526292222,51.34413031571331,-61.57189476724349,3.7028904258071007,0.0032,-0.145363663339395,-0.14536366326271324,-7.964389148185091e-10,0.9999999994724834,5.478940864190515e-09,0.12916172270896079,True,3.7051525645459917,False,True,False,True,0.01960847138837618,0.9999999994709857,1.0000000139924536
b10,107,1,4.672828834461906,4.672830158469143,1.3240072371800693e-06,0.0002325135252794774,0.005694323526292222,-71.13625093179101,35.28239118827545,3.525699067318723,0.0102,-0.14379312149769535,-0.14379312006931758,-9.022932401236972e-10,0.9999999900664388,6.274940273141952e-09,0.13333693549103384,True,3.5503544016984647,False,True,False,True,0.018519047767237673,0.9999999900646898,0.9999998280806155
