s,cdf_zeros,cdf_gue_mean,cdf_gue_q025,cdf_gue_q975,cdf_poisson_ensemble_mean,cdf_wigner_surmise,cdf_poisson
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.0050100116789012945,1.3509233142902644e-07,0.00498752080731768
0.01,0.0,1.3351130390143393e-06,0.0,0.0,0.010014682905646543,1.0806767320094973e-06,0.009950166250831893
0.015,0.0,5.340452156057358e-06,0.0,0.0,0.014985308749896908,3.6469357054397245e-06,0.014888060396937353
0.02,0.0,8.678234753593206e-06,0.0,0.00033344448149383126,0.019928564776847523,8.6434327722755e-06,0.019801326693244747
0.025,0.0,2.136180862422941e-05,0.0,0.00033344448149383126,0.024870151912499357,1.6878803347823712e-05,0.024690087971667385
0.03,0.0,3.671560857289429e-05,0.0,0.00033344448149383126,0.029740644278823655,2.9160446062929946e-05,0.029554466451491845
0.035,0.0,5.4072078080080785e-05,0.0,0.00033344448149383126,0.03455873345836669,4.629421467517575e-05,0.03439458374243354
0.04,0.0,7.743655626283184e-05,0.0,0.00033344448149383126,0.03933309768588193,6.908411071729348e-05,0.03921056084767682
0.045,0.0,0.00010213614748459723,0.0,0.0006668889629876625,0.04413416417417755,9.833197702915214e-05,0.04400251816690004
0.05,0.0,0.0001388517560574917,0.0,0.0006668889629876625,0.04890018394519898,0.00013483719231952018,0.048770575499285984
0.055,0.0,0.00018624826894250105,0.0,0.0006668889629876625,0.053613800529439135,0.0001793963669027704,0.05351485204651618
0.06,0.0,0.00024098790354208923,0.0,0.0010003334444814939,0.058315401096327955,0.00023280303975516115,0.05823546641575128
0.065,0.0,0.00030941244679157223,0.0,0.0010003334444814939,0.06301700166321705,0.0002958473770347525,0.06293253662259657
0.07,0.0,0.0003855138900153876,0.0,0.001333777925975325,0.06770191331711836,0.000369315872207579,0.06760618009405173
0.075,0.0,0.000470627346252551,0.0,0.001333777925975325,0.07240985567094259,0.0004539910479227499,0.07225651367144714
0.08,0.0,0.0005737648285164081,0.0,0.0016672224074691564,0.07705170992933578,0.0005506511597765662,0.07688365361336424
0.085,0.00033344448149383126,0.000683577875975336,0.0,0.0016672224074691564,0.0816117885140893,0.0006600699021066386,0.08148771559854262
0.09,0.00033344448149383126,0.0008057407190451474,0.0,0.0020006668889629878,0.08622326895084487,0.0007830161159535914,0.08606881472877181
0.095,0.0006668889629876625,0.0009462613664014075,0.0,0.002334111370456819,0.09076765995738982,0.0009202534993286854,0.09062706553176858
0.1,0.0006668889629876625,0.0010944589137319991,0.0,0.002334111370456819,0.09531839275087026,0.001072540319922849,0.09516258196404048
0.105,0.0006668889629876625,0.0012616818218685447,0.00031677225741914063,0.00266755585195065,0.09986445264871419,0.0012406291303918016,0.09967547741373439
0.11,0.0006668889629876625,0.0014566083255646372,0.00033344448149383126,0.0030010003334444814,0.10432306264250256,0.0014252664863506348,0.10416586470347178
0.115,0.0010003334444814939,0.001647529490143689,0.00033344448149383126,0.003334444814938313,0.10873561123644487,0.0016271926672090098,0.10863385609316867
0.12,0.0010003334444814939,0.0018694920328798262,0.0006668889629876625,0.003667889296432144,0.11315283272602372,0.0018471413999766872,0.11307956328284252
0.125,0.001333777925975325,0.0021214946189937805,0.0006668889629876625,0.0040013337779259755,0.11750897279406772,0.0020858395861682033,0.11750309741540454
0.13,0.0016672224074691564,0.002385179444199116,0.0006668889629876625,0.004334778259419807,0.12194788987053062,0.0023440070319317996,0.1219045690794387
0.135,0.0020006668889629878,0.0026602127302360655,0.0010003334444814939,0.004668222740913638,0.1263881420600327,0.002622356181527702,0.12628408831196558
0.14,0.0030010003334444814,0.002951934929260701,0.001333777925975325,0.005001667222407469,0.1308497560581588,0.002921591854278316,0.13064176460119414
0.145,0.003334444814938313,0.003276367397741184,0.001333777925975325,0.0053351117039013,0.13517418719152632,0.0032424109851098004,0.1349777068892587
0.15,0.003667889296432144,0.0036194914487678673,0.0016672224074691564,0.006002000666888963,0.13940082129478593,0.003585502368804283,0.1392920235749422
0.155,0.003667889296432144,0.003997995995328438,0.0020006668889629878,0.006335445148382794,0.14362778917630536,0.003951546408077572,0.1435848225163865
0.16,0.0040013337779259755,0.004400532576591258,0.002334111370456819,0.007002334111370457,0.14795422297923147,0.004341214865597742,0.14785621103378865
0.165,0.004668222740913638,0.004803069157854074,0.00266755585195065,0.007335778592864288,0.1521828597520496,0.004755170620054733,0.15210629591208413
0.17,0.005001667222407469,0.0052586764824177215,0.00266755585195065,0.008002667555851951,0.1564078249640106,0.005194067426390614,0.1563351834036163
0.17500000000000002,0.0053351117039013,0.0057076082417863,0.0030010003334444814,0.008669556518839614,0.16063045372815316,0.0056585496802978585,0.16054297923079264
0.18,0.006335445148382794,0.006194590722766778,0.0036512170723574534,0.009336445481827277,0.16477531215777302,0.006149252187088672,0.164729788588728
0.185,0.007335778592864288,0.0067086092427873075,0.0040013337779259755,0.009669889963321108,0.1689765791132911,0.006666799935038242,0.16889571614787435
0.19,0.008002667555851951,0.007260678484419728,0.004668222740913638,0.010336778926308769,0.1730977392864687,0.007211807873300585,0.1730408660566377
0.195,0.008669556518839614,0.007831105530338604,0.005001667222407469,0.011003667889296432,0.17720988744663294,0.00778488069449304,0.1771653419439816
0.2,0.009336445481827277,0.008428902393557267,0.0053351117039013,0.012004001333777926,0.18136642811534426,0.008386612622044182,0.18126924692201818
0.20500000000000002,0.009669889963321108,0.00907009043054391,0.006002000666888963,0.012670890296765588,0.18541482462789552,0.009017587202395205,0.18535268358858548
0.21,0.0106702234078026,0.009740317176129103,0.006668889629876626,0.013671223741247083,0.18947390204475922,0.00967837710214392,0.18941575402981292
0.215,0.0106702234078026,0.010455603986781034,0.007002334111370457,0.014004668222740914,0.19347423448790566,0.010369543910215162,0.19345855982267313
0.22,0.011337112370790263,0.011204936179927828,0.00766922307435812,0.015005001667222408,0.19746689003107848,0.011091637945143562,0.1974812020375215
0.225,0.012004001333777926,0.011963280386087984,0.008336112037345782,0.01567189063021007,0.20146922514378318,0.011845198067543028,0.20148378124062294
0.23,0.012004001333777926,0.012765015766016071,0.009003001000333445,0.016672224074691565,0.20543451086965595,0.012630751497845205,0.20546639749666595
0.23500000000000001,0.012670890296765588,0.013608807206673127,0.009669889963321108,0.017672557519173057,0.20938410901732063,0.013448813639375612,0.20942915037126442
0.24,0.013671223741247083,0.014455268873408207,0.010336778926308769,0.018672890963654553,0.21333303960846475,0.014299887906842057,0.21337213893344653
0.245,0.014338112704234745,0.01532309234876755,0.011003667889296432,0.020006668889629875,0.21726594884314132,0.015184465560299898,0.21729546175813186
0.25,0.016005335111703902,0.016269353715168976,0.012004001333777926,0.020690230076692216,0.22114411844321805,0.01610302554466042,0.22119921692859512
0.255,0.016005335111703902,0.01725032802058477,0.012670890296765588,0.021673891297099034,0.22500493157378781,0.017056034334801684,0.22508350203891903
0.26,0.017005668556185394,0.018239646782494408,0.013671223741247083,0.022690896965655204,0.22885072468266868,0.018043945786342885,0.22894841419643375
0.265,0.017672557519173057,0.019249326018248997,0.014671557185728577,0.024341447149049684,0.23270018935240697,0.019067200992133715,0.23279405002414433
0.27,0.018672890963654553,0.020296722197355743,0.01533844614871624,0.025341780593531177,0.23654965402214437,0.020126228144513036,0.23662050566314685
0.275,0.019006335445148383,0.021417883371868035,0.016655551850616873,0.026675558519506502,0.2403794257745572,0.02122144240338414,0.24042787677503152
0.28,0.020340113371123708,0.022551728120250972,0.017672557519173057,0.027675891963987995,0.24412108006639535,0.022353245770151797,0.24421625854427453
0.28500000000000003,0.020340113371123708,0.023755666303182134,0.018672890963654553,0.02900966988996332,0.247881425940779,0.023522026967563836,0.24798574568061738
0.29,0.022340780260086696,0.024996320094686234,0.019673224408136045,0.030360120040013323,0.2516981803410614,0.02472816132549499,0.25173643242143473
0.295,0.023674558186062022,0.026306399764219036,0.02100700233411137,0.03169389796598865,0.25543349284596395,0.025972010672708823,0.2554684125340906
