s,cdf_zeros,cdf_gue_mean,cdf_gue_q025,cdf_gue_q975,cdf_poisson_ensemble_mean,cdf_wigner_surmise,cdf_poisson
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.0,0.004988983648536833,1.3509233142902644e-07,0.00498752080731768
0.01,0.0,1.0013347792607543e-06,0.0,0.0,0.009994989988321084,1.0806767320094973e-06,0.009950166250831893
0.015,0.0,5.006673896303773e-06,0.0,0.0,0.014938246015271677,3.6469357054397245e-06,0.014888060396937353
0.02,0.0,9.679569532853961e-06,0.0,0.00033344448149383126,0.0198367757554153,8.6434327722755e-06,0.019801326693244747
0.025,0.0,2.0026695585215076e-05,0.0,0.00033344448149383126,0.024768683321534257,1.6878803347823712e-05,0.024690087971667385
0.03,0.0,3.671560857289428e-05,0.0,0.00033344448149383126,0.029592780509752805,2.9160446062929946e-05,0.029554466451491845
0.035,0.0,5.440585633983437e-05,0.0,0.00033344448149383126,0.03455506189750942,4.629421467517575e-05,0.03439458374243354
0.04,0.0,8.277700841888921e-05,0.0,0.0006668889629876625,0.03940586134650823,6.908411071729348e-05,0.03921056084767682
0.045,0.0,0.00011214949527720481,0.0,0.0006668889629876625,0.04426200124766314,9.833197702915214e-05,0.04400251816690004
0.05,0.0,0.00014652865603182423,0.0,0.0006668889629876625,0.049033361470840565,0.00013483719231952018,0.048770575499285984
0.055,0.0,0.00018891849502052974,0.0,0.0006668889629876625,0.053807391920096224,0.0001793963669027704,0.05351485204651618
0.06,0.0006668889629876625,0.00024065412528233562,0.0,0.0010003334444814939,0.05852167606085573,0.00023280303975516115,0.05823546641575128
0.065,0.0006668889629876625,0.00030774355549280423,0.0,0.0010003334444814939,0.06318989880176934,0.0002958473770347525,0.06293253662259657
0.07,0.0006668889629876625,0.0003858476682751412,0.0,0.0010003334444814939,0.06791453006858142,0.000369315872207579,0.06760618009405173
0.075,0.0006668889629876625,0.0004742989071098393,0.0,0.001333777925975325,0.0725657301182475,0.0004539910479227499,0.07225651367144714
0.08,0.0010003334444814939,0.0005717621589578851,0.0,0.001333777925975325,0.07729570183721565,0.0005506511597765662,0.07688365361336424
0.085,0.0010003334444814939,0.0006819089846765681,0.0,0.0016672224074691564,0.08185144130459232,0.0006600699021066386,0.08148771559854262
0.09,0.0010003334444814939,0.0008084109451231751,0.0,0.0020006668889629878,0.08641786167628104,0.0007830161159535914,0.08606881472877181
0.095,0.001333777925975325,0.0009572760489732744,0.0,0.0020006668889629878,0.09098962250012584,0.0009202534993286854,0.09062706553176858
0.1,0.001333777925975325,0.0011051398180441127,0.0,0.002334111370456819,0.0955623846587501,0.001072540319922849,0.09516258196404048
0.105,0.001333777925975325,0.0012623493783880532,0.00033344448149383126,0.00266755585195065,0.10006905872194319,0.0012406291303918016,0.09967547741373439
0.11,0.001333777925975325,0.0014522692081878432,0.00033344448149383126,0.0030010003334444814,0.10458374346337009,0.0014252664863506348,0.10416586470347178
0.115,0.0020006668889629878,0.0016375161423510824,0.00033344448149383126,0.003334444814938313,0.1090380143397816,0.0016271926672090098,0.10863385609316867
0.12,0.002334111370456819,0.0018658204720225359,0.0006668889629876625,0.003667889296432144,0.11354168439863703,0.0018471413999766872,0.11307956328284252
0.125,0.00266755585195065,0.002100132810369555,0.0006668889629876625,0.0040013337779259755,0.11789381912756375,0.0020858395861682033,0.11750309741540454
0.13,0.00266755585195065,0.002362482522535869,0.0010003334444814939,0.004334778259419807,0.12231204195192187,0.0023440070319317996,0.1219045690794387
0.135,0.0030010003334444814,0.0026438575955081427,0.0010003334444814939,0.004668222740913638,0.12669021138510989,0.002622356181527702,0.12628408831196558
