tau,k_connected_zeros,k_gue_mean,k_gue_q025,k_gue_q975,k_poisson_mean,k_gue_limit_min_tau_1
0.02,1.6675298267089409e-10,0.020190958329469468,0.010509731186405497,0.033836167118492494,1.0089285717652416,0.02
0.04,9.914689057994114e-10,0.039787904688344825,0.01910793591267019,0.06968415389426977,0.9845084036114475,0.04
0.06,3.594631447262907e-08,0.05982631366434862,0.027660694654029993,0.10350979489302209,0.985344330786882,0.06
0.08,0.15573713757309926,0.08058295952335437,0.03899238596755283,0.1355786231405613,0.9986019297844804,0.08
0.1,6.237370900929566e-07,0.09966757517288313,0.048112283869423525,0.1688380917521304,1.0005804337566384,0.1
0.12000000000000001,4.009803927678089e-05,0.11883003309993417,0.053735029896588724,0.20287931607450227,1.0010888189368958,0.12000000000000001
0.13999999999999999,0.000657067864074689,0.13998239427422596,0.067908523415935,0.23534603397048565,1.0160485157280508,0.13999999999999999
0.16,0.00015316811128228235,0.16115752902438396,0.07734641820814622,0.274780113526609,0.9992450553927604,0.16
0.18,5.920407240475752e-06,0.17567522203569666,0.08838908129759432,0.30094884160697705,1.0159237371127372,0.18
0.19999999999999998,0.006934736801422829,0.20022403401956645,0.09768454417088278,0.33874100220940095,0.9929253416354202,0.19999999999999998
0.22,1.3527581519837386e-05,0.22495746540108208,0.10815377857401706,0.38762025467711947,0.9997355864371974,0.22
0.24,0.02755404877602321,0.2414601579219056,0.11372478733798193,0.4147899023780033,0.9952132200774444,0.24
0.26,0.03272137530516486,0.2630193025855615,0.12483271323799955,0.4508568591625243,0.9955877619114869,0.26
0.28,0.000524443128572524,0.28015470893556227,0.13844724654064508,0.48107136019661745,1.0052324434817577,0.28
0.30000000000000004,0.0005240636806164374,0.3017888907113861,0.14980351084019636,0.5157373475778999,0.9969563640327613,0.30000000000000004
0.32,5.9772939302803435e-05,0.31818654292189624,0.15414424392320455,0.5332086296301091,0.9970366569705985,0.32
0.34,1.061768492796033,0.341675227620476,0.15721798994210048,0.588760276150138,0.9913700110004257,0.34
0.36000000000000004,0.06037563061280172,0.3585683593189694,0.17742038748511083,0.6047760199599329,0.9925127561491449,0.36000000000000004
0.38,0.6417987210580206,0.3858309168932097,0.19279577411249668,0.6771909213542114,0.991753011358808,0.38
0.4,0.10013981310269772,0.39920854773742387,0.19958800992966913,0.6703482945083887,0.9737205483042392,0.4
0.42000000000000004,0.04324412959684722,0.42003015816400385,0.1973596883871973,0.7224487885712386,1.0099778888648048,0.42000000000000004
0.44,0.08900130444645912,0.43183656374665236,0.2101398979607699,0.752055645875329,1.0173513052065308,0.44
0.46,0.25981628570428494,0.4634952051678325,0.22095594127965115,0.7710873527966073,0.9936625903168761,0.46
0.48000000000000004,0.5307811604702076,0.48645327064012006,0.23441541085441084,0.8368977320808393,1.0024010409634432,0.48000000000000004
0.5,0.13196066097246678,0.4962679081279569,0.21914678900992424,0.8642760443534069,0.9921608022948334,0.5
0.52,0.24904324056481686,0.5261258575806531,0.25916006944087344,0.8677873595080253,1.0102826826023024,0.52
0.54,0.4834479324685528,0.5452907750869566,0.2622744184045304,0.9114186297633678,1.0040439396832739,0.54
0.56,1.056458555008262,0.5491406038440807,0.2698855080516365,0.9373388982679047,0.9893162750357382,0.56
0.5800000000000001,0.3302430451901771,0.5726836911514357,0.28275296383268744,0.9580379637390576,0.9836739405027355,0.5800000000000001
