versao,bloco,K,rhoK,largura_S_max,largura_D_max,segundos_reconstrucao,segundos_suave,segundos_discreta
m4-v2,c03,13,60210539067331865845905667043163980692768348189763326874869257745984951508824735471947377396519666504916750554005562731996956050978710471008925756925235230536216135062946652411380280695772794471505442373632/26782955750830550608233580823139471495664049856933927660559353011706408084113756992613608877516975296636712032591173233793394702710273065036045481913018550265089781903108916316901737125785578416291053377369895740850002866552039,1.3552527156068805e-20,5.091749244456878e-11,24.2123966217041,3.7320284843444824,454.23120045661926
m4-v2,c04,13,61140634107462111725063258950578569999351063294457754136433199549012494475546105609990794344861303466901144046755110863024148329849098242521583333986121185022747955725566885726744978932105216000000000000000000000000000000/63958295685914306114972737970289063218876049390860722805253416160778792800397319961703475942935040846524205780275678762715916083076649391790603668081747995020228944960784648175089162739199998276900009590455049735589871827738441760902456608873,1.3552527156068805e-20,5.054801022197353e-11,15.394105434417725,1.9347031116485596,374.61434960365295
m4-v2,c05,13,41628734531576608632456073591270277750681612009809207370343439667845135360202707409327423511214464215524894909553171864316139995306503189344202708073351771353124998549403238583717175668373243033097863168/97547023264413285808250171573634734455226168765075619327026505592837989996831364196012467487679463334760649688053874756384437184325443165264277443567653551930451931704218988534250739826812274231533412140663149261673583984375,6.776263578034403e-21,5.077538389741676e-11,24.10426902770996,3.716214895248413,532.102433681488
m4-v2,c06,12,32408544009415980001732226083625847421817050560314418998798604260752510548547630482970744017914278867926190602142775382566047884929797179780482603558900619217884399023320119279578248069231406155178758489/3540846488889080035951569139196944848498549486132647997523738472518186736400488039381873668451384947869709486061834037451530903971447898360773276866242184095650344631655140287730842167915587047543442879025630339047855554560,2.710505431213761e-20,5.022116056352388e-11,24.081276416778564,3.5447940826416016,469.7753608226776
m4-v2,c07,12,845390914715090624718675793640828781197130628930226798537603957383104573399469906712632884417093982643851062089410567420793077655924265100244377665718762645658812069671543250393709846522913291464070922240/181291313713668054931630880533218711048459393933955068845935366108703207689084647953699903937354295109901447138060772125161980519495778568577123504434314004022382515888320133936862131199557690759712114082390821576507816961953,1.3552527156068805e-20,5.071854047855595e-11,14.997030258178711,1.8281450271606445,372.58267188072205
m4-v2,c08,12,98839256630510475039664691832076277336842906461297366353829446724901815367250122509296583091368964723114383983578145052276942718748505168445207483958791878077745713179076576147136788636417221168128327680/40035063802032284636962375279441357686762365590549890192759508597904325880816363425065942474000879318152764226816493713371947247344545639694991711931498196576876941999521562533441795987951435254371763289235265272980362768289,1.3552527156068805e-20,5.03774799653911e-11,24.35546898841858,3.565171718597412,463.5706925392151
m4-v2,c09,12,56542257343018751856196604978649631228613366434576325610101284487350624460813205652941722921012930172703799095363326083561537769676839598597505300091461948438691896664807333984016398369639411617753568532106313728/42042625208653825283234051371070065290368262409502502323913036909917041706541694491825661536185499877845223334111101094864885943445600907111007055912189029718796496878158648795380712098132608477487981871659787902207751111264474201859,1.3552527156068805e-20,5.051958851254312e-11,20.861862897872925,2.135495185852051,418.24365735054016
m4-v2,c10,12,106469296294902349691823485593503910516668679806745807373317996714695262876412377620895307606409940627011721570268586560889877495239145283158305056971697556956439748340918874721089552171768263807419794117785288704/141242436260010451664242677100662603490843449039515315678159591840932775030328724275003969438831109444071169386040458278861486650059274638904281807833815532499853437150663332827910691559187465280810205213665282439378530238909790076741,1.3552527156068805e-20,5.023537141823908e-11,24.235427618026733,3.5799155235290527,532.8813774585724
m4-v3,d01,12,978561454824353157364340517239173115106023027075364504150132302062916901479677854200111554949745638448659392500638840456810522265151435000674369997539794469358660695340327383830840833093508567296/2266509377546500292330792869455415100855458451469434485720215144864164952299360822810260546827224734086565055217416285927509042881506259970944858313216088438628394261959988040259361336796795931813378801152547545453831,6.776263578034403e-21,5.0107473725802265e-11,15.28239393234253,1.8289682865142822,338.6226668357849
m4-v3,d02,12,23127600758336134745984906203898036431321736924859472204614905601338637300057795218680863561739144949415658519257354864514036165581458316413036253914600472232466392932683564554224587810413451311666613202190336/91241203742334211663519616305482943672646444339084544637666295586800486965817556237090318364795476616037240122170705976067331045884466933832551572484486858598995819191663369198828248751849355983593802132584678008414428360142446121,6.776263578034403e-21,5.027800398238469e-11,24.72064518928528,3.028655767440796,421.2309319972992
m4-v3,d03,11,47500068552903049309711342807533668644151462598038415258648224726936482162486492150432515847011727100847116122564561129488653487582171573383795694807806059547501135333483062239284102144/4970655175516924223897177816890247789835874592050642751602986327169981304048294848170312973944278369174556431971693083071366585503843082428952467060656456643544821478023213646751529071556594600886926955205,2.710505431213761e-20,4.907008133159252e-11,24.613033771514893,3.3324670791625977,435.31777811050415
m4-v3,d04,11,301526892400946042815801241703146133163993782425609980189622400918354188351863054557279102938457073288444776597778807003985767750229734092583617191453855284853607506119151692533739592810397786177536/49921884385455949461940593882545761160767973942226923322278916414827901951287964879527264211574007524348033286288528875044266067463655330868308338630608292638757861522469214384150364379717559402498160327500428189431755,2.0328790734103208e-20,4.992273261450464e-11,24.846988439559937,3.3777685165405273,539.0758528709412
m4-v3,d05,11,288384614208192278082873073712892925191200806171989625985179736131437923689144952170311879602663822456440121137009740417994570874760268996254265037700924080788585937500000000000000000000000000000000/73880854027293971650629549310545494947343961175765473229692229094875172087494873003096296505705797588116124448489647219278141425452926010041056589224921452485686945677820377405356408618783167518154598114418549860912247,2.0328790734103208e-20,5.000799774279585e-11,15.05928373336792,2.323707103729248,493.19080567359924
m4-v3,d06,11,134853848060601334761679276157302426110444996913536863793675683703011232580533449835402686800118031430946362884099078093151477381565012431232159942422977497698534776628165001866710453910773956608/52661731001499342455919495383961114921556872862397121629124795537995055887639616637692878967907908914162239530070788919048691502146337335392897943592513413255244484761479559935685073963607413693422308537076638669985,1.3552527156068805e-20,4.943956355418777e-11,14.727802753448486,1.735426902770996,463.97590732574463
m4-v3,d07,11,21537475837515139477978799013829155402838809640874739460189564262016147459345628364924878144357461127469525000810322818032579663951803530492187222858369960511155068804716392062926842177030979584/12649874233110875923604773311765794518901711687441074487344492287581144588276204059663148668111009784721063109290778769449656120124313862595157418222936292992746563509275764954689079480576352115786099758908627600133,6.776263578034403e-21,5.0036419452226255e-11,23.60589098930359,1.7362394332885742,452.8180260658264
m4-v3,d08,11,31748438859920720509776104143004194923335327089915897626746188362793423872121432756955812961122029080675115133577345427400228852492513582967304567527722852214739109655293991142064164898093030965248/27673636504462263359845091242839631480162521381302291759278922071081669344806920256147346863172002085674156372176295344914786141080355996686973004330766072675911973171956332840472845681290039127697522229936140038807291,1.3552527156068805e-20,4.8629544835421257e-11,15.432239532470703,1.7591159343719482,368.4079170227051
m4-v3,d09,11,113734077472261981927562708937711634016698899183615654623847082800937024253595326061901002262674401094507862708703519909523320830204804174639982603275189877992277239226779829104014841622822912/144719932606249315582728644674667059848388116457113497773597605576191626203406417259704967054866407471343406333955124976238741551739472662644678261689687134887907446961292388688681234875434044549014641171788120099,6.776263578034403e-21,4.985167834092863e-11,24.5546236038208,3.3869402408599854,401.9373598098755
m4-v3,d10,11,13986051997202166679452152557401767355057328191635357690069947460477454228323160887196146113392912947091476002904816341827130281045473027590509022873929396795005926400000000000000000000000000/25900987402577507275117678107286606614427690089663647173768503237711439207287881598946614731264865828023987347455741209945933953753841030386674426390726348260796740071714745628448637792891489663939535666544405587,1.3552527156068805e-20,4.9681148084346205e-11,24.554535388946533,3.3500189781188965,333.9938814640045
