versao,bloco,p,r,eligible,d1,Delta,L2_sobre_L0,zeros_rel_sup,orcamento_rel,P0_rel,fr_P0,P1a_rel,fr_P1a,P1b_rel,fr_P1b,P2_rel,fr_P2,P3_rel,fr_P3,fr_proximos,fr_distantes,fr_L0,fr_L2
m4-v1,b01,127,1,False,1,0.5,127.2752815,0.001622431636,0.0016224354330471842,3.525909e-06,0.0021732249954644163,0.001003404688,0.6184572966936395,0.000615478468,0.37935556216219585,8e-12,4.930870298613869e-09,2.257e-08,1.3911217829964378e-05,0.6206305216891038,0.3793694783108962,0.0021732249954644163,0.9978267750045355
m4-v1,b01,2,7,False,1,0.5,127.2752815,0.011155042329,0.0111550686032691,2.4242406e-05,0.0021732240245977315,0.00689891735,0.6184572986993996,0.004231727363,0.3793555627613532,4.7e-11,4.213341248228141e-09,1.5517e-07,1.3910301308245971e-05,0.6206305227239973,0.3793694772760027,0.0021732240245977315,0.9978267759754023
m4-v1,b01,131,1,False,1,0.5,127.2752815,0.001445218649,0.0014452219855835722,3.140785e-06,0.0021732247844531176,0.000893806023,0.6184572970378659,0.000548251735,0.379355561944362,7e-12,4.8435577383271455e-09,2.0105e-08,1.3911389761295324e-05,0.620630521822319,0.37936947817768096,0.0021732247844531176,0.9978267752155469
m4-v1,b01,137,1,False,1,0.5,127.2752815,0.00178124268,0.001781246899327471,3.871041e-06,0.0021732249234902965,0.001101622537,0.6184572970647976,0.00067572432,0.37935556188439556,9e-12,5.052652325669676e-09,2.4779e-08,1.3911074664196544e-05,0.6206305219882879,0.37936947801171206,0.0021732249234902965,0.9978267750765097
m4-v1,b01,139,1,False,1,0.5,127.2752815,0.001818054374,0.00181805858942727,3.951041e-06,0.0021732248735046086,0.001124388998,0.6184572971904174,0.000689689041,0.3793555619606934,9e-12,4.950346974769809e-09,2.5291e-08,1.3911025037655915e-05,0.6206305220639219,0.3793694779360781,0.0021732248735046086,0.9978267751264954
m4-v1,b01,2,1,True,1,1,81.7035655,0.000739708017,0.0007397106250327883,2.501163e-06,0.0033812841267759452,0.000456923959,0.6177085338741709,0.000280272618,0.37889627921624386,5e-12,6.759423769614266e-09,1.0279e-08,1.389602338557301e-05,0.6210898180009469,0.37891018199905313,0.0033812841267759452,0.996618715873224
m4-v1,b01,3,1,True,1,1,81.7035655,0.00059096344,0.0005909655236482437,1.998216e-06,0.003381285272623638,0.000365043164,0.6177085331641502,0.000223913851,0.37889627884209903,4e-12,6.768608143711468e-09,8.212e-09,1.3895952519039643e-05,0.6210898184367739,0.3789101815632261,0.003381285272623638,0.9966187147273764
m4-v1,b01,2,2,False,1,1,81.7035655,0.001084381586,0.0010843854137696986,3.666602e-06,0.003381283882952524,0.000669831766,0.6177085363138478,0.000410868151,0.37889627971478884,6e-12,5.533107574183167e-09,1.5067e-08,1.3894555303369627e-05,0.6210898201968004,0.37891017980319963,0.003381283882952524,0.9966187161170474
m4-v1,b01,5,1,True,1,1,81.7035655,0.000618339121,0.000618341301555203,2.090781e-06,0.003381285299126801,0.000381953356,0.6177085345595477,0.000234286394,0.37889627838478995,4e-12,6.46894208265103e-09,8.592e-09,1.3895287593534413e-05,0.6210898198586745,0.3789101801413255,0.003381285299126801,0.9966187147008732
m4-v1,b01,7,1,True,1,1,81.7035655,0.000527767861,0.0005277697236086163,1.784534e-06,0.0033812858042354325,0.000326006715,0.6177085320396959,0.000199969281,0.3788962783160569,4e-12,7.579089676600015e-09,7.334e-09,1.3896260922046127e-05,0.6210898178439312,0.37891018215606875,0.0033812858042354325,0.9966187141957645
