versao,bloco,p,r,eligible,total_densidade_sup,certificado_densidade,lin_rel_sup,resto_rel_sup,borda_rel_sup,total_ordenadas_sup,certificado
m4-v1,b01,139,1,False,0.000001208816004,False,0.000000171168209,0.000000000000008,0.000000000000002,0.000001379984219,False
m4-v1,b02,2,1,True,0.000000364751522,True,0.000000021442277,0.000000000000007,0.000000000000002,0.000000386193805,True
m4-v1,b02,3,1,True,0.000000267732926,True,0.000000026274294,0.000000000000006,0.000000000000002,0.000000294007225,True
m4-v1,b02,2,2,False,0.000000454494145,True,0.000000059508780,0.000000000000009,0.000000000000002,0.000000514002932,True
m4-v1,b02,5,1,True,0.000000225383556,True,0.000000033766347,0.000000000000005,0.000000000000002,0.000000259149907,True
m4-v1,b02,7,1,True,0.000000245931170,True,0.000000039863315,0.000000000000005,0.000000000000002,0.000000285794489,True
m4-v1,b02,2,3,False,0.000000679094777,True,0.000000125111597,0.000000000000012,0.000000000000002,0.000000804206384,True
m4-v1,b02,3,2,False,0.000000493187859,True,0.000000088272889,0.000000000000009,0.000000000000002,0.000000581460756,True
m4-v1,b02,11,1,True,0.000000209997684,True,0.000000049767707,0.000000000000005,0.000000000000002,0.000000259765394,True
m4-v1,b02,13,1,True,0.000000229928415,True,0.000000053764682,0.000000000000005,0.000000000000002,0.000000283693101,True
m4-v1,b02,2,4,False,0.000001016198257,False,0.000000233962048,0.000000000000018,0.000000000000002,0.000001250160321,False
m4-v1,b02,17,1,True,0.000000240006752,True,0.000000061203276,0.000000000000005,0.000000000000002,0.000000301210032,True
m4-v1,b02,19,1,True,0.000000200004798,True,0.000000064994427,0.000000000000005,0.000000000000002,0.000000264999228,True
m4-v1,b02,23,1,True,0.000000265990029,True,0.000000071531277,0.000000000000006,0.000000000000002,0.000000337521311,True
m4-v1,b02,5,2,False,0.000000561082843,True,0.000000147645676,0.000000000000010,0.000000000000002,0.000000708728528,True
m4-v1,b02,3,3,False,0.000000751498456,True,0.000000231606151,0.000000000000013,0.000000000000002,0.000000983104619,True
m4-v1,b02,29,1,True,0.000000216476748,True,0.000000080392120,0.000000000000005,0.000000000000002,0.000000296868872,True
m4-v1,b02,31,1,True,0.000000295710487,True,0.000000082860320,0.000000000000006,0.000000000000002,0.000000378570812,True
