versao,bloco,p,r,eligible,total_contaminacao_sup,certificado_contaminacao,extra_rhoDelta_rel_sup,total_densidade_sup,certificado
m4-v1,b02,2,3,False,0.000000613099248,True,0.000000065995529,0.000000679094777,True
m4-v1,b02,2,4,False,0.000000917601878,True,0.000000098596379,0.000001016198257,False
m4-v1,b02,2,5,False,0.000001051836157,False,0.000000112011509,0.000001163847666,False
m4-v1,b02,2,6,False,0.000001923723791,False,0.000000203143617,0.000002126867408,False
m4-v1,b02,2,7,False,0.000003465858115,False,0.000000236872573,0.000003702730688,False
m4-v1,b02,23,1,True,0.000000240299637,True,0.000000025690392,0.000000265990029,True
m4-v1,b02,29,1,True,0.000000195666367,True,0.000000020810381,0.000000216476748,True
m4-v1,b02,3,1,True,0.000000241671520,True,0.000000026061406,0.000000267732926,True
m4-v1,b02,3,2,False,0.000000445276046,True,0.000000047911813,0.000000493187859,True
m4-v1,b02,3,3,False,0.000000679102489,True,0.000000072395967,0.000000751498456,True
m4-v1,b02,3,4,False,0.000001145053967,False,0.000000117467872,0.000001262521839,False
m4-v1,b02,31,1,True,0.000000267197203,True,0.000000028513284,0.000000295710487,True
m4-v1,b02,37,1,True,0.000000263051456,True,0.000000028019569,0.000000291071025,True
m4-v1,b02,41,1,True,0.000000265174310,True,0.000000028169039,0.000000293343349,True
m4-v1,b02,43,1,True,0.000000238908327,True,0.000000025263593,0.000000264171920,True
m4-v1,b02,47,1,True,0.000000294386374,True,0.000000031231356,0.000000325617730,True
m4-v1,b02,5,1,True,0.000000203465246,True,0.000000021918310,0.000000225383556,True
m4-v1,b02,5,2,False,0.000000506880709,True,0.000000054202134,0.000000561082843,True
m4-v1,b02,5,3,False,0.000001445366216,False,0.000000120295227,0.000001565661443,False
m4-v1,b02,53,1,True,0.000000300832604,True,0.000000031753647,0.000000332586251,True
m4-v1,b02,59,1,False,0.000000256040055,True,0.000000026883035,0.000000282923090,True
