versao,bloco,p,r,eligible,d1,Delta,a_l1,abs_c,zeros_rel_sup,polos_rel_sup,arq_rel_sup,B_rel_sup,B_rel_sup_str
m4-v1,b01,5,1,True,1,0.5,0.0024739118619119048,0.22910752440522542,0.000962063076,5.52584e-07,1.067e-09,0.000962616724,0.000962616724
m4-v1,b01,5,1,True,1,1,0.0024739118619119048,0.22910752440522542,0.000618338999,7.09185e-07,1.067e-09,0.000619049248,0.000619049248
m4-v1,b01,5,1,True,1,2,0.0024739118619119048,0.22910752440522542,0.000500412147,1.16852e-06,1.067e-09,0.000501581731,0.000501581731
m4-v1,b01,5,1,True,2,0.5,0.0024739118619119048,0.22910752440522542,8.537732e-05,2.27484e-07,1.63e-10,8.5604964e-05,0.000085604964
m4-v1,b01,5,1,True,2,1,0.0024739118619119048,0.22910752440522542,5.9249042e-05,2.92038e-07,1.63e-10,5.954124e-05,0.000059541240
m4-v1,b01,5,1,True,2,2,0.0024739118619119048,0.22910752440522542,3.7766287e-05,4.81369e-07,1.63e-10,3.8247816e-05,0.000038247816
m4-v1,b01,5,1,True,4,0.5,0.0024739118619119048,0.22910752440522542,7.85922e-06,1.54493e-07,1.6e-11,8.013726e-06,0.000008013726
m4-v1,b01,5,1,True,4,1,0.0024739118619119048,0.22910752440522542,5.536459e-06,1.98365e-07,1.6e-11,5.734837e-06,0.000005734837
m4-v1,b01,5,1,True,4,2,0.0024739118619119048,0.22910752440522542,3.903441e-06,3.27031e-07,1.6e-11,4.230486e-06,0.000004230486
m4-v1,b01,5,1,True,8,0.5,0.0024739118619119048,0.22910752440522542,8.35555e-07,2.85353e-07,2e-12,1.120908e-06,0.000001120908
m4-v1,b01,5,1,True,8,1,0.0024739118619119048,0.22910752440522542,5.4521e-07,3.66398e-07,2e-12,9.11607e-07,0.000000911607
m4-v1,b01,5,1,True,8,2,0.0024739118619119048,0.22910752440522542,4.00038e-07,6.04082e-07,2e-12,1.004119e-06,0.000001004119
m4-v1,b01,7,1,True,1,0.5,0.002157669765961605,0.23411211608563706,0.000821144828,4.71645e-07,9.11e-10,0.000821617381,0.000821617381
m4-v1,b01,7,1,True,1,1,0.002157669765961605,0.23411211608563706,0.000527767757,6.05307e-07,9.11e-10,0.000528373972,0.000528373972
m4-v1,b01,7,1,True,1,2,0.002157669765961605,0.23411211608563706,0.000427114248,9.97361e-07,9.11e-10,0.000428112517,0.000428112517
m4-v1,b01,7,1,True,2,0.5,0.002157669765961605,0.23411211608563706,7.2871672e-05,1.94164e-07,1.39e-10,7.3065972e-05,0.000073065972
m4-v1,b01,7,1,True,2,1,0.002157669765961605,0.23411211608563706,5.0570535e-05,2.49262e-07,1.39e-10,5.0819934e-05,0.000050819934
m4-v1,b01,7,1,True,2,2,0.002157669765961605,0.23411211608563706,3.2234468e-05,4.1086e-07,1.39e-10,3.2645465e-05,0.000032645465
m4-v1,b01,7,1,True,4,0.5,0.002157669765961605,0.23411211608563706,6.70804e-06,1.31864e-07,1.4e-11,6.839915e-06,0.000006839915
m4-v1,b01,7,1,True,4,1,0.002157669765961605,0.23411211608563706,4.725506e-06,1.69309e-07,1.4e-11,4.894826e-06,0.000004894826
m4-v1,b01,7,1,True,4,2,0.002157669765961605,0.23411211608563706,3.331685e-06,2.79129e-07,1.4e-11,3.610825e-06,0.000003610825
m4-v1,b01,7,1,True,8,0.5,0.002157669765961605,0.23411211608563706,7.13167e-07,2.43557e-07,2e-12,9.56723e-07,0.000000956723
m4-v1,b01,7,1,True,8,1,0.002157669765961605,0.23411211608563706,4.65351e-07,3.1273e-07,2e-12,7.7808e-07,0.000000778080
m4-v1,b01,7,1,True,8,2,0.002157669765961605,0.23411211608563706,3.41442e-07,5.15599e-07,2e-12,8.57041e-07,0.000000857041
m4-v1,b01,2,3,False,1,0.5,0.0021593401834197512,0.0780064645195518,0.002466318426,1.416587e-06,2.734e-09,0.002467737744,0.002467737744
m4-v1,b01,2,3,False,1,1,0.0021593401834197512,0.0780064645195518,0.001585156841,1.818045e-06,2.734e-09,0.001586977617,0.001586977617
m4-v1,b01,2,3,False,1,2,0.0021593401834197512,0.0780064645195518,0.001282842809,2.995582e-06,2.734e-09,0.001285841123,0.001285841123
m4-v1,b01,2,3,False,2,0.5,0.0021593401834197512,0.0780064645195518,0.000218870945,5.83171e-07,4.16e-10,0.000219454528,0.000219454528
m4-v1,b01,2,3,False,2,1,0.0021593401834197512,0.0780064645195518,0.000151889212,7.48659e-07,4.16e-10,0.000152638283,0.000152638283
m4-v1,b01,2,3,False,2,2,0.0021593401834197512,0.0780064645195518,9.6816613e-05,1.234021e-06,4.16e-10,9.8051047e-05,0.000098051047
m4-v1,b01,2,3,False,4,0.5,0.0021593401834197512,0.0780064645195518,2.0147677e-05,3.96051e-07,4e-11,2.0543765e-05,0.000020543765
m4-v1,b01,2,3,False,4,1,0.0021593401834197512,0.0780064645195518,1.419311e-05,5.0852e-07,4e-11,1.4701667e-05,0.000014701667
m4-v1,b01,2,3,False,4,2,0.0021593401834197512,0.0780064645195518,1.0006752e-05,8.38365e-07,4e-11,1.0845154e-05,0.000010845154
m4-v1,b01,2,3,False,8,0.5,0.0021593401834197512,0.0780064645195518,2.142004e-06,7.31522e-07,3e-12,2.873526e-06,0.000002873526
m4-v1,b01,2,3,False,8,1,0.0021593401834197512,0.0780064645195518,1.397683e-06,9.39286e-07,3e-12,2.336969e-06,0.000002336969
m4-v1,b01,2,3,False,8,2,0.0021593401834197512,0.0780064645195518,1.025523e-06,1.548606e-06,3e-12,2.574129e-06,0.000002574129
m4-v1,b01,3,2,False,1,0.5,0.0022162419039277064,0.1165663841886866,0.001693957511,9.72964e-07,1.878e-09,0.00169493235,0.001694932350
m4-v1,b01,3,2,False,1,1,0.0022162419039277064,0.1165663841886866,0.001088743574,1.2487e-06,1.878e-09,0.001089994149,0.001089994149
m4-v1,b01,3,2,False,1,2,0.0022162419039277064,0.1165663841886866,0.000881103263,2.057476e-06,1.878e-09,0.000883162614,0.000883162614
m4-v1,b01,3,2,False,2,0.5,0.0022162419039277064,0.1165663841886866,0.000150328554,4.00543e-07,2.86e-10,0.00015072938,0.000150729380
m4-v1,b01,3,2,False,2,1,0.0022162419039277064,0.1165663841886866,0.000104323055,5.14206e-07,2.86e-10,0.000104837544,0.000104837544
m4-v1,b01,3,2,False,2,2,0.0022162419039277064,0.1165663841886866,6.6497184e-05,8.47571e-07,2.86e-10,6.7345038e-05,0.000067345038
m4-v1,b01,3,2,False,4,0.5,0.0022162419039277064,0.1165663841886866,1.3838161e-05,2.72023e-07,2.8e-11,1.4110208e-05,0.000014110208
m4-v1,b01,3,2,False,4,1,0.0022162419039277064,0.1165663841886866,9.748347e-06,3.4927e-07,2.8e-11,1.0097642e-05,0.000010097642
m4-v1,b01,3,2,False,4,2,0.0022162419039277064,0.1165663841886866,6.873003e-06,5.7582e-07,2.8e-11,7.448848e-06,0.000007448848
m4-v1,b01,3,2,False,8,0.5,0.0022162419039277064,0.1165663841886866,1.471207e-06,5.02436e-07,2e-12,1.973643e-06,0.000001973643
m4-v1,b01,3,2,False,8,1,0.0022162419039277064,0.1165663841886866,9.5998e-07,6.45137e-07,2e-12,1.605116e-06,0.000001605116
m4-v1,b01,3,2,False,8,2,0.0022162419039277064,0.1165663841886866,7.04367e-07,1.06364e-06,2e-12,1.768006e-06,0.000001768006
m4-v1,b01,11,1,True,1,0.5,0.001989331156956831,0.23013570108523157,0.000770161429,4.42361e-07,8.55e-10,0.000770604642,0.000770604642
m4-v1,b01,11,1,True,1,1,0.001989331156956831,0.23013570108523157,0.00049499961,5.67725e-07,8.55e-10,0.000495568187,0.000495568187
m4-v1,b01,11,1,True,1,2,0.001989331156956831,0.23013570108523157,0.000400595496,9.35437e-07,8.55e-10,0.000401531784,0.000401531784
m4-v1,b01,11,1,True,2,0.5,0.001989331156956831,0.23013570108523157,6.8347201e-05,1.82109e-07,1.31e-10,6.8529438e-05,0.000068529438
m4-v1,b01,11,1,True,2,1,0.001989331156956831,0.23013570108523157,4.7430702e-05,2.33786e-07,1.31e-10,4.7664616e-05,0.000047664616
