arquivo,sha256,papel,execucao
cert_densidade_resumo.json,b436cc1ada99ac0a8a34fc362aea0daca1a8ffcb7f179c836a65acc5e7360c49,resumo,densidade (vigente)
DECLARACAO_CERT_ORDENADAS.md,a3382442d9d8105e83a1e659c16f557b1f2c6f89a4ba297f89b2919f2ef91250,"declaração (ρ_ord: ordenadas tabuladas, sob H-tab)",—
cert_ordenadas.py,884de08776a8f46c384f6fd882093a3cdefe19d4adb2a3384f9f20e252d0ec08,script,ordenadas (vigente)
cert_ordenadas_testes.py,ca1365f1c95420c5eae233a730251d82fbbc985860c2a2ab884f65470fdb2daa,testes T1–T27 (rodada 2),ordenadas (vigente)
cert_ordenadas_testes_resultado.json,d68d8f1fbb9cbab60df435ae619dc954adad792e4ec0951e5e93ec812a081aae,resultado dos testes (rodada 2),ordenadas (vigente)
cert_ordenadas_testes_resultado_rodada1.json,f9245a4a4d7e57040e3860f168ef64c8e745411289800c08a6b46bee6a15b55a,"resultado dos testes (rodada 1, falhou; preservado)",ordenadas (histórico)
cert_ordenadas_blocos.csv,2019550f8cb2d9007f6ed78d8c3a20a2b5feabb34487559625c911d06efb9f07,registros por bloco,ordenadas (vigente)
cert_ordenadas_tabela.csv,c97f2c1c6fbf31d0311744f1a3783a36d4c9abc25acfd710e0553e36f853f455,registros por par,ordenadas (vigente)
cert_ordenadas_resumo.json,b50e7f5ae9453915ad315e0014c38cb8b3085bc3bbc09d6c704d376486af1430,resumo,ordenadas (vigente)
DECLARACAO_CERT_NUMERICO.md,a120c1e2fdba74eeb0c573635bb7c843e9a5a178912acfd8193840866b98a60e,declaração (ρ_num: enclausuramento direto × valor registrado; (N) e (T)),—
cert_numerico.py,98e08195d9493fcd8ca2355270e16b6f7deeca14461781fc887b2dd7b93e7106,script,numerico (vigente)
cert_numerico_testes.py,fd3c55991fd08f16121b68b9b89f0656dd6b85e6169fe03777aa00e23bb6f148,testes T1–T34,numerico (vigente)
cert_numerico_testes_resultado.json,e32ff2f4ee385e8ba1638530204fb3fdd8146141b5bf2f960380a6311df91ab1,resultado dos testes,numerico (vigente)
cert_numerico_blocos.csv,45629bd83f7a92769460bdc7a5b3c8b64a8e4fb48822f8f5480130e2b16470f0,registros por bloco,numerico (vigente)
cert_numerico_tabela.csv,300d41bc3cfb23cff0eb52301ee9178f8f09aa55daad02dd236002b867d89aee,registros por par,numerico (vigente)
cert_numerico_resumo.json,986a9859138da7fba0a1c77890f0254801405674d410e09bed9c7f3c0ae93016,resumo,numerico (vigente)
