versao,bloco,p,r,eligible,d1,Delta,a_l1,abs_c,zeros_rel_sup,polos_rel_sup,arq_rel_sup,B_rel_sup,B_rel_sup_str
m4-v1,b01,5,1,True,1,0.5,0.0024739118619119048,0.22910752440522542,0.000962063341,1.156e-09,1.067e-09,0.000962065561,0.000962065561
m4-v1,b01,5,1,True,1,1,0.0024739118619119048,0.22910752440522542,0.000618339121,1.115e-09,1.067e-09,0.0006183413,0.000618341300
m4-v1,b01,5,1,True,1,2,0.0024739118619119048,0.22910752440522542,0.000500412205,1.09e-09,1.067e-09,0.00050041436,0.000500414360
m4-v1,b01,5,1,True,2,0.5,0.0024739118619119048,0.22910752440522542,8.5377346e-05,1.95e-10,1.63e-10,8.5377701e-05,0.000085377701
m4-v1,b01,5,1,True,2,1,0.0024739118619119048,0.22910752440522542,5.9249059e-05,1.87e-10,1.63e-10,5.9249406e-05,0.000059249406
m4-v1,b01,5,1,True,2,2,0.0024739118619119048,0.22910752440522542,3.7766295e-05,1.79e-10,1.63e-10,3.7766635e-05,0.000037766635
m4-v1,b01,5,1,True,4,0.5,0.0024739118619119048,0.22910752440522542,7.859222e-06,3.1e-11,1.6e-11,7.859266e-06,0.000007859266
m4-v1,b01,5,1,True,4,1,0.0024739118619119048,0.22910752440522542,5.53646e-06,3e-11,1.6e-11,5.536504e-06,0.000005536504
m4-v1,b01,5,1,True,4,2,0.0024739118619119048,0.22910752440522542,3.903442e-06,3e-11,1.6e-11,3.903485e-06,0.000003903485
m4-v1,b01,5,1,True,8,0.5,0.0024739118619119048,0.22910752440522542,8.35555e-07,1.8e-11,2e-12,8.35573e-07,0.000000835573
m4-v1,b01,5,1,True,8,1,0.0024739118619119048,0.22910752440522542,5.4521e-07,2e-11,2e-12,5.45229e-07,0.000000545229
m4-v1,b01,5,1,True,8,2,0.0024739118619119048,0.22910752440522542,4.00038e-07,2.3e-11,2e-12,4.0006e-07,0.000000400060
m4-v1,b01,7,1,True,1,0.5,0.002157669765961605,0.23411211608563706,0.000821145055,9.87e-10,9.11e-10,0.00082114695,0.000821146950
m4-v1,b01,7,1,True,1,1,0.002157669765961605,0.23411211608563706,0.000527767861,9.52e-10,9.11e-10,0.000527769721,0.000527769721
m4-v1,b01,7,1,True,1,2,0.002157669765961605,0.23411211608563706,0.000427114297,9.31e-10,9.11e-10,0.000427116136,0.000427116136
m4-v1,b01,7,1,True,2,0.5,0.002157669765961605,0.23411211608563706,7.2871695e-05,1.66e-10,1.39e-10,7.2871997e-05,0.000072871997
m4-v1,b01,7,1,True,2,1,0.002157669765961605,0.23411211608563706,5.057055e-05,1.59e-10,1.39e-10,5.0570846e-05,0.000050570846
m4-v1,b01,7,1,True,2,2,0.002157669765961605,0.23411211608563706,3.2234475e-05,1.53e-10,1.39e-10,3.2234765e-05,0.000032234765
m4-v1,b01,7,1,True,4,0.5,0.002157669765961605,0.23411211608563706,6.708042e-06,2.7e-11,1.4e-11,6.70808e-06,0.000006708080
m4-v1,b01,7,1,True,4,1,0.002157669765961605,0.23411211608563706,4.725507e-06,2.6e-11,1.4e-11,4.725544e-06,0.000004725544
m4-v1,b01,7,1,True,4,2,0.002157669765961605,0.23411211608563706,3.331686e-06,2.5e-11,1.4e-11,3.331722e-06,0.000003331722
m4-v1,b01,7,1,True,8,0.5,0.002157669765961605,0.23411211608563706,7.13168e-07,1.6e-11,2e-12,7.13182e-07,0.000000713182
m4-v1,b01,7,1,True,8,1,0.002157669765961605,0.23411211608563706,4.65351e-07,1.7e-11,2e-12,4.65367e-07,0.000000465367
m4-v1,b01,7,1,True,8,2,0.002157669765961605,0.23411211608563706,3.41442e-07,2e-11,2e-12,3.41461e-07,0.000000341461
m4-v1,b01,2,3,False,1,0.5,0.0021593401834197512,0.0780064645195518,0.002466319107,2.961e-09,2.734e-09,0.002466324799,0.002466324799
m4-v1,b01,2,3,False,1,1,0.0021593401834197512,0.0780064645195518,0.001585157154,2.856e-09,2.734e-09,0.00158516274,0.001585162740
m4-v1,b01,2,3,False,1,2,0.0021593401834197512,0.0780064645195518,0.001282842957,2.793e-09,2.734e-09,0.001282848481,0.001282848481
m4-v1,b01,2,3,False,2,0.5,0.0021593401834197512,0.0780064645195518,0.000218871013,4.97e-10,4.16e-10,0.000218871923,0.000218871923
m4-v1,b01,2,3,False,2,1,0.0021593401834197512,0.0780064645195518,0.000151889255,4.76e-10,4.16e-10,0.000151890144,0.000151890144
m4-v1,b01,2,3,False,2,2,0.0021593401834197512,0.0780064645195518,9.6816633e-05,4.58e-10,4.16e-10,9.6817503e-05,0.000096817503
m4-v1,b01,2,3,False,4,0.5,0.0021593401834197512,0.0780064645195518,2.0147683e-05,7.8e-11,4e-11,2.0147797e-05,0.000020147797
m4-v1,b01,2,3,False,4,1,0.0021593401834197512,0.0780064645195518,1.4193115e-05,7.5e-11,4e-11,1.4193227e-05,0.000014193227
m4-v1,b01,2,3,False,4,2,0.0021593401834197512,0.0780064645195518,1.0006755e-05,7.4e-11,4e-11,1.0006865e-05,0.000010006865
m4-v1,b01,2,3,False,8,0.5,0.0021593401834197512,0.0780064645195518,2.142005e-06,4.4e-11,3e-12,2.142049e-06,0.000002142049
m4-v1,b01,2,3,False,8,1,0.0021593401834197512,0.0780064645195518,1.397684e-06,4.8e-11,3e-12,1.397731e-06,0.000001397731
m4-v1,b01,2,3,False,8,2,0.0021593401834197512,0.0780064645195518,1.025523e-06,5.7e-11,3e-12,1.02558e-06,0.000001025580
m4-v1,b01,3,2,False,1,0.5,0.0022162419039277064,0.1165663841886866,0.001693957979,2.034e-09,1.878e-09,0.001693961888,0.001693961888
m4-v1,b01,3,2,False,1,1,0.0022162419039277064,0.1165663841886866,0.001088743789,1.962e-09,1.878e-09,0.001088747626,0.001088747626
m4-v1,b01,3,2,False,1,2,0.0022162419039277064,0.1165663841886866,0.000881103365,1.919e-09,1.878e-09,0.000881107159,0.000881107159
m4-v1,b01,3,2,False,2,0.5,0.0022162419039277064,0.1165663841886866,0.000150328601,3.42e-10,2.86e-10,0.000150329225,0.000150329225
m4-v1,b01,3,2,False,2,1,0.0022162419039277064,0.1165663841886866,0.000104323085,3.27e-10,2.86e-10,0.000104323695,0.000104323695
m4-v1,b01,3,2,False,2,2,0.0022162419039277064,0.1165663841886866,6.6497198e-05,3.15e-10,2.86e-10,6.6497795e-05,0.000066497795
m4-v1,b01,3,2,False,4,0.5,0.0022162419039277064,0.1165663841886866,1.3838164e-05,5.4e-11,2.8e-11,1.3838243e-05,0.000013838243
m4-v1,b01,3,2,False,4,1,0.0022162419039277064,0.1165663841886866,9.74835e-06,5.2e-11,2.8e-11,9.748426e-06,0.000009748426
m4-v1,b01,3,2,False,4,2,0.0022162419039277064,0.1165663841886866,6.873005e-06,5.1e-11,2.8e-11,6.873081e-06,0.000006873081
m4-v1,b01,3,2,False,8,0.5,0.0022162419039277064,0.1165663841886866,1.471207e-06,3.1e-11,2e-12,1.471238e-06,0.000001471238
m4-v1,b01,3,2,False,8,1,0.0022162419039277064,0.1165663841886866,9.59981e-07,3.3e-11,2e-12,9.60013e-07,0.000000960013
m4-v1,b01,3,2,False,8,2,0.0022162419039277064,0.1165663841886866,7.04367e-07,4e-11,2e-12,7.04406e-07,0.000000704406
m4-v1,b01,11,1,True,1,0.5,0.001989331156956831,0.23013570108523157,0.000770161642,9.26e-10,8.55e-10,0.000770163419,0.000770163419
m4-v1,b01,11,1,True,1,1,0.001989331156956831,0.23013570108523157,0.000494999708,8.93e-10,8.55e-10,0.000495001452,0.000495001452
m4-v1,b01,11,1,True,1,2,0.001989331156956831,0.23013570108523157,0.000400595542,8.73e-10,8.55e-10,0.000400597267,0.000400597267
m4-v1,b01,11,1,True,2,0.5,0.001989331156956831,0.23013570108523157,6.8347223e-05,1.56e-10,1.31e-10,6.8347507e-05,0.000068347507
m4-v1,b01,11,1,True,2,1,0.001989331156956831,0.23013570108523157,4.7430716e-05,1.5e-10,1.31e-10,4.7430993e-05,0.000047430993
m4-v1,b01,11,1,True,2,2,0.001989331156956831,0.23013570108523157,3.0233095e-05,1.44e-10,1.31e-10,3.0233367e-05,0.000030233367
m4-v1,b01,11,1,True,4,0.5,0.001989331156956831,0.23013570108523157,6.291552e-06,2.5e-11,1.3e-11,6.291588e-06,0.000006291588
m4-v1,b01,11,1,True,4,1,0.001989331156956831,0.23013570108523157,4.432109e-06,2.4e-11,1.3e-11,4.432144e-06,0.000004432144
m4-v1,b01,11,1,True,4,2,0.001989331156956831,0.23013570108523157,3.124827e-06,2.4e-11,1.3e-11,3.124862e-06,0.000003124862
m4-v1,b01,11,1,True,8,0.5,0.001989331156956831,0.23013570108523157,6.68888e-07,1.5e-11,2e-12,6.68902e-07,0.000000668902
m4-v1,b01,11,1,True,8,1,0.001989331156956831,0.23013570108523157,4.36458e-07,1.6e-11,2e-12,4.36473e-07,0.000000436473
m4-v1,b01,11,1,True,8,2,0.001989331156956831,0.23013570108523157,3.20243e-07,1.9e-11,2e-12,3.20261e-07,0.000000320261
m4-v1,b01,13,1,True,1,0.5,0.002726553364026509,0.22644213759952758,0.001072792064,1.289e-09,1.19e-09,0.00107279454,0.001072794540
m4-v1,b01,13,1,True,1,1,0.002726553364026509,0.22644213759952758,0.000689506889,1.243e-09,1.19e-09,0.000689509319,0.000689509319
m4-v1,b01,13,1,True,1,2,0.002726553364026509,0.22644213759952758,0.00055800717,1.216e-09,1.19e-09,0.000558009573,0.000558009573
m4-v1,b01,13,1,True,2,0.5,0.002726553364026509,0.22644213759952758,9.5203856e-05,2.17e-10,1.82e-10,9.5204251e-05,0.000095204251
m4-v1,b01,13,1,True,2,1,0.002726553364026509,0.22644213759952758,6.6068332e-05,2.08e-10,1.82e-10,6.6068718e-05,0.000066068718
m4-v1,b01,13,1,True,2,2,0.002726553364026509,0.22644213759952758,4.2113009e-05,2e-10,1.82e-10,4.2113387e-05,0.000042113387
m4-v1,b01,13,1,True,4,0.5,0.002726553364026509,0.22644213759952758,8.763779e-06,3.5e-11,1.8e-11,8.763829e-06,0.000008763829
m4-v1,b01,13,1,True,4,1,0.002726553364026509,0.22644213759952758,6.173679e-06,3.4e-11,1.8e-11,6.173728e-06,0.000006173728
m4-v1,b01,13,1,True,4,2,0.002726553364026509,0.22644213759952758,4.352709e-06,3.3e-11,1.8e-11,4.352757e-06,0.000004352757
m4-v1,b01,13,1,True,8,0.5,0.002726553364026509,0.22644213759952758,9.31724e-07,2e-11,2e-12,9.31743e-07,0.000000931743
m4-v1,b01,13,1,True,8,1,0.002726553364026509,0.22644213759952758,6.07961e-07,2.2e-11,2e-12,6.07982e-07,0.000000607982
m4-v1,b01,13,1,True,8,2,0.002726553364026509,0.22644213759952758,4.4608e-07,2.6e-11,2e-12,4.46104e-07,0.000000446104
m4-v1,b01,2,4,False,1,0.5,0.0022261149154426388,0.0551589000381629,0.003595760673,4.316e-09,3.985e-09,0.003595768971,0.003595768971
m4-v1,b01,2,4,False,1,1,0.0022261149154426388,0.0551589000381629,0.002311073914,4.163e-09,3.985e-09,0.002311082059,0.002311082059
m4-v1,b01,2,4,False,1,2,0.0022261149154426388,0.0551589000381629,0.001870316068,4.071e-09,3.985e-09,0.001870324121,0.001870324121
m4-v1,b01,2,4,False,2,0.5,0.0022261149154426388,0.0551589000381629,0.000319102171,7.24e-10,6.05e-10,0.000319103497,0.000319103497
m4-v1,b01,2,4,False,2,1,0.0022261149154426388,0.0551589000381629,0.000221446368,6.93e-10,6.05e-10,0.000221447664,0.000221447664
m4-v1,b01,2,4,False,2,2,0.0022261149154426388,0.0551589000381629,0.000141153446,6.66e-10,6.05e-10,0.000141154714,0.000141154714
m4-v1,b01,2,4,False,4,0.5,0.0022261149154426388,0.0551589000381629,2.9374238e-05,1.12e-10,5.7e-11,2.9374404e-05,0.000029374404
m4-v1,b01,2,4,False,4,1,0.0022261149154426388,0.0551589000381629,2.0692798e-05,1.09e-10,5.7e-11,2.0692961e-05,0.000020692961
m4-v1,b01,2,4,False,4,2,0.0022261149154426388,0.0551589000381629,1.458931e-05,1.06e-10,5.7e-11,1.4589471e-05,0.000014589471
m4-v1,b01,2,4,False,8,0.5,0.0022261149154426388,0.0551589000381629,3.122927e-06,6.4e-11,3e-12,3.122991e-06,0.000003122991
m4-v1,b01,2,4,False,8,1,0.0022261149154426388,0.0551589000381629,2.037747e-06,6.9e-11,3e-12,2.037816e-06,0.000002037816
m4-v1,b01,2,4,False,8,2,0.0022261149154426388,0.0551589000381629,1.495157e-06,8.2e-11,3e-12,1.49524e-06,0.000001495240
m4-v1,b01,17,1,True,1,0.5,0.0024907227281795075,0.21872828371837585,0.001014563501,1.219e-09,1.126e-09,0.001014565843,0.001014565843
m4-v1,b01,17,1,True,1,1,0.0024907227281795075,0.21872828371837585,0.00065208212,1.176e-09,1.126e-09,0.000652084419,0.000652084419
m4-v1,b01,17,1,True,1,2,0.0024907227281795075,0.21872828371837585,0.000527719888,1.15e-09,1.126e-09,0.000527722161,0.000527722161
m4-v1,b01,17,1,True,2,0.5,0.0024907227281795075,0.21872828371837585,9.003642e-05,2.05e-10,1.72e-10,9.0036794e-05,0.000090036794
m4-v1,b01,17,1,True,2,1,0.0024907227281795075,0.21872828371837585,6.2482303e-05,1.97e-10,1.72e-10,6.2482668e-05,0.000062482668
m4-v1,b01,17,1,True,2,2,0.0024907227281795075,0.21872828371837585,3.9827216e-05,1.89e-10,1.72e-10,3.9827574e-05,0.000039827574
m4-v1,b01,17,1,True,4,0.5,0.0024907227281795075,0.21872828371837585,8.288103e-06,3.3e-11,1.7e-11,8.28815e-06,0.000008288150
m4-v1,b01,17,1,True,4,1,0.0024907227281795075,0.21872828371837585,5.838587e-06,3.2e-11,1.7e-11,5.838633e-06,0.000005838633
m4-v1,b01,17,1,True,4,2,0.0024907227281795075,0.21872828371837585,4.116455e-06,3.1e-11,1.7e-11,4.1165e-06,0.000004116500
m4-v1,b01,17,1,True,8,0.5,0.0024907227281795075,0.21872828371837585,8.81152e-07,1.9e-11,2e-12,8.8117e-07,0.000000881170
m4-v1,b01,17,1,True,8,1,0.0024907227281795075,0.21872828371837585,5.74962e-07,2.1e-11,2e-12,5.74982e-07,0.000000574982
m4-v1,b01,17,1,True,8,2,0.0024907227281795075,0.21872828371837585,4.21868e-07,2.4e-11,2e-12,4.21891e-07,0.000000421891
m4-v1,b01,19,1,True,1,0.5,0.002733932013648283,0.21501852841127717,0.001132845337,1.361e-09,1.257e-09,0.001132847951,0.001132847951
m4-v1,b01,19,1,True,1,1,0.002733932013648283,0.21501852841127717,0.000728104439,1.312e-09,1.257e-09,0.000728107005,0.000728107005
