peak_index,period_candidate,fwhm,amplitude_real,amplitude_imag,modulus,phase_rad,prominence,snr
25089,3.696312,0.001606,-608.680815,1.591586,608.682895,3.138978,588.444169,4.850019
2696,0.843492,0.001489,621.018025,1.239227,621.019261,0.001995,587.688302,4.948316
9027,1.650021,0.002398,616.057533,-2.480317,616.062526,-0.004026,587.649111,4.908821
31486,4.511302,0.001504,-595.504026,1.170964,595.505178,3.139626,583.943162,4.745019
5896,1.251150,0.001742,603.862065,1.054451,603.862986,0.001746,577.942721,4.811614
2714,0.845778,0.001438,-602.058903,-0.697944,602.059308,-3.140433,573.394776,4.797242
18632,2.873727,0.002514,-600.743623,-1.764777,600.746215,-3.138655,572.962098,4.786780
20687,3.135556,0.001252,-334.644122,-467.823590,575.191794,-2.191731,571.141799,4.583160
21854,3.284172,0.001766,-593.418830,2.342218,593.423452,3.137646,569.487363,4.728431
15520,2.477227,0.001625,-590.509527,0.735459,590.509985,3.140347,569.453779,4.705217
25025,3.688257,0.003173,-589.275053,-3.082697,589.283116,-3.136361,568.730936,4.695441
12311,2.068450,0.001734,586.159331,0.264577,586.159390,0.000451,568.425162,4.670551
31634,4.530209,0.001248,577.451548,0.395437,577.451683,0.000685,565.092425,4.601167
31448,4.506524,0.001632,587.462777,0.667096,587.463156,0.001136,564.367431,4.680939
28406,4.118907,0.001368,575.143001,-2.593765,575.148850,-0.004510,563.342501,4.582818
21824,3.280418,0.002124,585.167136,1.022844,585.168030,0.001748,559.405671,4.662652
9128,1.662978,0.001601,583.860444,2.523197,583.865896,0.004322,559.222883,4.652276
34555,4.902278,0.001958,-574.784123,2.656130,574.790261,3.136972,559.153164,4.579961
9059,1.654081,0.002250,-593.388248,0.108594,593.388258,3.141410,558.246897,4.728151
18746,2.888222,0.001589,-567.292754,1.756178,567.295473,3.138497,557.660713,4.520242
5917,1.253789,0.001562,-596.467721,1.364370,596.469282,3.139305,557.130898,4.752701
2732,0.848000,0.001402,581.318785,-2.545197,581.324356,-0.004378,554.922096,4.632025
12234,2.058621,0.002637,-591.780194,-0.524789,591.780427,-3.140706,554.237709,4.715340
15425,2.465197,0.002735,579.475010,-0.524324,579.475247,-0.000905,554.127941,4.617291
18587,2.867995,0.003105,583.610701,-1.080233,583.611701,-0.001851,548.966685,4.650251
5937,1.256370,0.001502,582.628143,-0.160258,582.628165,-0.000275,548.677814,4.642414
5957,1.258890,0.001478,-567.285720,1.682651,567.288215,3.138627,548.666367,4.520184
28176,4.089672,0.002398,-578.318749,-1.094329,578.319784,-3.139700,546.807093,4.608084
18314,2.833274,0.001313,153.511304,-526.910454,548.817225,-1.287301,546.743344,4.373006
5874,1.248365,0.001943,-592.377455,-1.498626,592.379350,-3.139063,546.341451,4.720112
31518,4.515388,0.001507,567.307837,-1.192993,567.309092,-0.002103,545.191520,4.520351
22031,3.306718,0.001407,-562.016341,2.186661,562.020595,3.137702,544.532831,4.478212
18827,2.898512,0.001439,550.188419,-3.104933,550.197180,-0.005643,544.136109,4.384002
34838,4.938446,0.001519,-549.247151,-2.180373,549.251479,-3.137623,539.329517,4.376467
18772,2.891588,0.001486,567.197269,-0.022326,567.197270,-0.000039,538.862336,4.519460
34718,4.923047,0.001382,-558.089866,2.336232,558.094756,3.137407,538.620360,4.446930
22156,3.322656,0.001242,541.055673,-2.264403,541.060411,-0.004185,538.140926,4.311200
2749,0.850165,0.001361,-564.051829,2.589904,564.057775,3.137001,536.452948,4.494444
15572,2.483868,0.001588,-551.562311,-0.214707,551.562352,-3.141203,530.953580,4.394880
18716,2.884469,0.001816,563.221167,-0.279183,563.221236,-0.000496,530.384604,4.487778
12430,2.083607,0.001385,-544.200442,-0.452903,544.200631,-3.140760,530.079936,4.336221
9194,1.671331,0.001471,-545.643902,0.509424,545.644140,3.140659,528.901433,4.347723
34475,4.892139,0.004771,-543.549713,0.747706,543.550227,3.140217,527.874709,4.331039
18801,2.895262,0.001529,-549.498464,-1.014803,549.499401,-3.139746,527.696356,4.378442
34920,4.948805,0.001205,540.312901,-2.945192,540.320928,-0.005451,525.155864,4.305307
2765,0.852280,0.001326,550.002377,0.978593,550.003248,0.001779,522.696705,4.382457
9151,1.665794,0.001623,-555.853907,2.999331,555.861999,3.136197,521.998174,4.429140
25286,3.721449,0.001443,525.553055,-0.200186,525.553093,-0.000381,518.893570,4.187637
15492,2.473709,0.002313,547.589794,0.628134,547.590154,0.001147,517.661735,4.363229
4699,1.098629,0.001191,-224.025407,474.388642,524.625549,2.011991,517.244034,4.180246
24974,3.681651,0.003558,547.467827,-3.811522,547.481095,-0.006962,517.077338,4.362360
9173,1.668617,0.001522,548.376852,-1.678041,548.379419,-0.003060,514.843573,4.369518
5976,1.261362,0.001411,552.341336,0.731334,552.341820,0.001324,514.838455,4.401091
21973,3.299367,0.001402,-539.257776,1.059021,539.258816,3.139629,514.164035,4.296845
9215,1.674047,0.001447,530.228779,1.848976,530.232003,0.003487,512.257315,4.224918
15545,2.480475,0.001737,540.342337,0.898597,540.343084,0.001663,510.425538,4.305484
28543,4.136441,0.001375,-528.122647,-1.454607,528.124650,-3.138838,509.449429,4.208127
28468,4.126832,0.001364,529.146037,-0.742514,529.146558,-0.001403,508.455327,4.216269
15466,2.470374,0.002765,-529.869079,-1.167940,529.870366,-3.139388,507.485575,4.222037
12360,2.074689,0.001788,531.879639,0.085426,531.879646,0.000161,507.046601,4.238047
8708,1.609430,0.001464,-408.037336,310.607660,512.807553,2.490947,504.736561,4.086079
35079,4.969114,0.001227,512.871213,0.590431,512.871553,0.001151,503.710752,4.086589
12335,2.071539,0.002029,-529.247190,-0.276003,529.247262,-3.141071,503.650038,4.217072
15686,2.498394,0.001305,523.008998,-1.368620,523.010789,-0.002617,501.363241,4.167379
18945,2.913649,0.001293,-511.425140,-2.445496,511.430987,-3.136811,501.356553,4.075111
5995,1.263793,0.001391,-536.524023,-1.683872,536.526665,-3.138454,500.744358,4.275075
35293,4.996375,0.001073,-532.296902,-1.653115,532.299468,-3.138487,499.888750,4.241392
2781,0.854348,0.001295,-532.414093,-2.467029,532.419809,-3.136959,499.700716,4.242351
25119,3.700239,0.002027,516.823163,0.401014,516.823319,0.000776,499.513890,4.118077
28734,4.160750,0.001212,-506.191355,0.147873,506.191377,3.141301,499.008122,4.033361
31748,4.544730,0.001360,511.973131,1.262030,511.974687,0.002465,498.721978,4.079443
12453,2.086509,0.001480,509.342952,-0.526718,509.343224,-0.001034,496.926834,4.058475
6014,1.266172,0.001427,516.692724,0.299710,516.692811,0.000580,495.942599,4.117037
9236,1.676724,0.001380,-522.503053,-3.167810,522.512656,-3.135530,494.678504,4.163410
35204,4.985075,0.001179,-512.620930,-4.482981,512.640532,-3.132848,494.282573,4.084749
31554,4.519983,0.001487,-515.676415,-0.029130,515.676416,-3.141536,493.486531,4.108939
12408,2.080746,0.001399,526.570107,-4.779087,526.591794,-0.009076,493.093068,4.195913
25055,3.691985,0.002233,520.106363,-2.080315,520.110524,-0.004000,490.237632,4.144270
34802,4.933788,0.002301,503.145341,-157.699080,527.280034,-0.303729,488.765756,4.201397
15596,2.486978,0.001616,513.526761,1.307993,513.528427,0.002547,488.365791,4.091823
31825,4.554485,0.001354,-496.420558,2.029785,496.424707,3.137504,487.045307,3.955540
2797,0.856368,0.001286,515.935505,1.750011,515.938473,0.003392,484.865282,4.111027
34870,4.942490,0.001510,514.189121,1.198480,514.190518,0.002331,484.436709,4.097099
22223,3.331250,0.001252,-506.861387,-1.503105,506.863615,-3.138627,484.101232,4.038718
31852,4.557977,0.001280,494.378227,-0.756876,494.378807,-0.001531,483.912058,3.939238
32755,4.673011,0.001474,392.144862,-290.459487,488.000314,-0.637519,483.510049,3.888414
22057,3.310141,0.001691,486.992795,1.062339,486.993954,0.002181,483.026965,3.880395
28617,4.145827,0.001345,499.640947,-1.774834,499.644100,-0.003552,482.714024,3.981192
25213,3.712132,0.001512,-505.553655,10.145725,505.655450,3.121527,481.991793,4.029091
31900,4.564122,0.001359,491.523058,2.308492,491.528479,0.004697,480.481964,3.916527
12534,2.096811,0.001276,496.501680,-1.956354,496.505534,-0.003940,479.587111,3.956184
