run_block,prime,repetition,period_theoretical,period_observed,absolute_error,error_in_fwhm,fwhm_instrument,amplitude_real,amplitude_imag,z_primary,p_adjusted,coefficient_theoretical,fit_coefficient_real,fit_coefficient_imag,fit_ratio_to_theory,fit_phase_error_rad,detection_limit_coefficient,predicted_detectable,z_predicted,clearly_detectable,detected,inconclusive_candidate_within_tolerance,resolved,nearest_neighbor_separation,ratio_to_theory__band_no_conjugate,ratio_to_theory__centers_conjugate
d01,2,1,0.6931471805599453,0.6931475267038664,3.4614392108167635e-07,4.2843894167409484e-05,0.008079189060852953,-54.89626772103765,-18.81688021897279,5.1060532167303085,0.001,-0.1560129290391036,-0.15601291071517065,-1.0506305665736182e-08,0.9999998825486255,6.734253990631134e-08,0.10023224113983441,True,5.121848368678103,True,True,False,True,0.4054651081081645,0.9999999186419453,1.0000008972023535
d01,3,1,1.0986122886681098,1.0986119485186405,3.401494692578666e-07,4.2101932099353006e-05,0.008079189060852953,7.769825151196361,74.69667985671168,6.4817504547321025,0.001,-0.20189889986939866,-0.20189889533477873,9.907918208096334e-09,0.9999999775401455,-4.907366229848612e-08,0.10220580177541132,True,6.500278598651932,True,True,False,True,0.2876820724517808,0.9999999691797837,1.0000001734181279
d01,2,2,1.3862943611198906,1.3862940830449684,2.7807492219977803e-07,3.441866753028063e-05,0.008079189060852953,-32.40579951404767,-25.173339501739136,3.519056848491569,0.014,-0.1103178000763258,-0.110317800955931,8.155254652142396e-09,1.000000007973375,-7.39251016742093e-08,0.10253761390942513,True,3.5402664817909124,False,True,False,True,0.2231435513142097,0.9999999781119763,0.9999999415050795
d01,5,1,1.6094379124341003,1.6094377225607304,1.8987336991571624e-07,2.3501538147650493e-05,0.008079189060852953,-68.11647895941888,51.211957571016676,7.217120677801974,0.001,-0.22910752440522542,-0.2291075089819497,1.4609042142676998e-08,0.9999999326810599,-6.376500799817939e-08,0.10366395656646037,True,7.27252360678134,True,True,False,True,0.2231435513142097,0.9999999268651215,1.0000005126293787
d01,7,1,1.9459101490553132,1.9459098159817836,3.3307352964584425e-07,4.1226109097969335e-05,0.008079189060852953,64.03656316383191,59.01339233858151,6.946760254906733,0.001,-0.23411211608563706,-0.23411210080421796,-9.54765322705442e-09,0.9999999347260647,4.078239951824992e-08,0.11057800225822488,True,6.96672581435265,True,True,False,True,0.13353139262452252,0.999999938437494,1.0000004976147936
d01,2,3,2.0794415416798357,,,,0.008079189060852953,,,,,-0.0780064645195518,-0.07800647503474228,7.907893166680946e-09,1.0000001347989624,-1.013748302709349e-07,0.10638269552598105,False,2.412865824807163,False,False,False,True,0.11778303565638382,1.0000001293132301,0.9999989608117691
d01,3,2,2.1972245773362196,2.1972243347327085,2.4260351105809264e-07,3.002820075514856e-05,0.008079189060852953,42.430562462663765,-8.923693027124184,3.465490985698013,0.017,-0.1165663841886866,-0.1165664043162237,-6.536517938027231e-09,1.0000001726701675,5.607548741312141e-08,0.10989534670592757,True,3.490338834078617,False,True,False,True,0.11778303565638382,1.0000001745542078,0.9999986855880054
d01,11,1,2.3978952727983707,2.397895628337242,3.555388712328522e-07,4.400675223155584e-05,0.008079189060852953,75.32976278849934,40.66040674218827,6.871019563243295,0.001,-0.23013570108523157,-0.23013570688499568,-4.132132603099081e-09,1.0000000252014967,1.7955199821138606e-08,0.10980793011552324,True,6.8964224788013455,True,True,False,True,0.16705408466316607,1.0000000316315054,0.9999998056819566
d01,13,1,2.5649493574615367,2.5649490037157756,3.5374576112801037e-07,4.378481038920804e-05,0.008079189060852953,84.03047569407178,-5.777668983178012,6.462380823655853,0.001,-0.22644213759952758,-0.22644214712257016,6.98438889362718e-09,1.0000000420550816,-3.084403227216627e-08,0.11484170191027125,True,6.488304055903272,True,True,False,True,0.16705408466316607,1.0000000302993641,0.9999996797139888
d01,2,4,2.772588722239781,,,,0.008079189060852953,,,,,-0.0551589000381629,-0.05515889397616791,-2.5353203408212677e-08,0.9999998900994221,4.596394448946902e-07,0.11464170965669915,False,1.583239113990057,False,False,False,True,0.06062462181643502,0.9999999324097197,1.000000860711235
