tau,k_connected_zeros,k_gue_mean,k_gue_q025,k_gue_q975,k_poisson_mean,k_gue_limit_min_tau_1
0.02,1.2778325088469157e-08,0.019892440678764202,0.010493982218980258,0.032550130452970914,0.9931200998893579,0.02
0.04,2.744001610882729e-08,0.041177088923335006,0.01928323985563165,0.07057910913726272,0.9648036120174204,0.04
0.06,9.417065722260382e-08,0.059742797330652214,0.03090158116722576,0.09641397468432698,1.0006784046111157,0.06
0.08,5.749737675291374e-07,0.08356854203577474,0.044150135861223544,0.15474076846563645,1.0126964751405823,0.08
0.1,1.0164718589917274e-05,0.1034313672462358,0.0557755252482936,0.1766838133387783,0.9855380057989895,0.1
0.12000000000000001,0.03421368896294722,0.11893364264945021,0.06283678236846404,0.20281067957911375,0.9943505595551595,0.12000000000000001
0.13999999999999999,0.24556957697906387,0.13970604214039167,0.06859922690781713,0.2456122947313358,0.9828793368164198,0.13999999999999999
0.16,0.11720409963477463,0.1585419876338369,0.07589701760642382,0.2502472651531266,1.0250713076364002,0.16
0.18,0.08474680920353003,0.18220131267207712,0.09223800474298813,0.30474025946858685,1.0065317753580156,0.18
0.19999999999999998,0.1486623379256368,0.20540590022415503,0.10289600321020383,0.3414272978390624,1.0034988457972733,0.19999999999999998
0.22,0.3437549669380067,0.21900865743455972,0.09905799643504017,0.36156113193811135,1.0169392299643374,0.22
0.24,0.19352156349677083,0.25203469910045206,0.1296723465017304,0.44849124266235574,0.9892687307638818,0.24
0.26,0.17798956022828016,0.26501052240285666,0.1308645361967973,0.47870405871315785,0.992467887602786,0.26
0.28,0.20749904029621516,0.2836323460600896,0.13217040709970826,0.4639619006514108,1.0036237231600196,0.28
0.30000000000000004,0.2943693746271607,0.29244382413095776,0.14930578688964896,0.48958662670876074,0.9988442319441883,0.30000000000000004
0.32,0.3156952249150107,0.316918296587081,0.16091428908333766,0.5585099822651293,0.997241337581163,0.32
0.34,0.2528506323608385,0.34603684326293865,0.1604549253875319,0.6243185622516514,0.9655018717665699,0.34
0.36000000000000004,0.34995199517397413,0.3663726962431834,0.1740991699743757,0.5888072386429287,1.0199445480173406,0.36000000000000004
0.38,0.3656991536077216,0.3902238911461091,0.17626001857552884,0.6704223496524072,0.9158121934262377,0.38
0.4,0.282536089841527,0.40199669311376607,0.19580645788407242,0.6494583435841512,1.0162847813627585,0.4
0.42000000000000004,0.31699923304194894,0.42701636804445303,0.19898883878707158,0.6807492093098217,1.003872610670446,0.42000000000000004
0.44,0.2424641696076313,0.4334429556447003,0.20031179086085577,0.7500688296030736,0.9529887337957543,0.44
0.46,0.3464779558443836,0.45892479834117106,0.216262303923614,0.7485493982007625,1.0017271195839907,0.46
0.48000000000000004,0.540570540880099,0.4916704513822511,0.2067395686624288,0.7697682448811048,0.9638069938955292,0.48000000000000004
0.5,0.4978478714484488,0.5106868787900884,0.20696526335063775,0.8705733522806199,0.9884219037901337,0.5
0.52,0.4736287124408349,0.5087478233782924,0.2388140887117168,0.8231032320907312,1.0190352672935155,0.52
0.54,0.5266745426294862,0.544111100028897,0.264267629945626,0.9616856571421367,0.9801043386074771,0.54
0.56,0.6409154140886535,0.5478373126392252,0.25064467187098505,0.9096036635440549,0.9947356581503339,0.56
0.5800000000000001,0.342402715383492,0.5648044815443066,0.29919664253457134,0.9798160487218166,0.9933754786092539,0.5800000000000001
0.6,0.5036548284156783,0.5977656138996826,0.3046823683214733,1.0150438184999793,1.0064874939399437,0.6
0.62,0.6035597218808689,0.6272379433614952,0.2634719474073476,0.9998501265830143,1.0363738026937035,0.62
0.64,0.5782382526882303,0.6222437591833564,0.308846106723869,1.0902589686865158,1.0061172243107432,0.64
0.66,0.705297801112298,0.6656820240830028,0.3542577398942116,1.092718882058047,0.9711789240048782,0.66
0.68,0.5912542451349476,0.6761625022244826,0.37197772733301,1.1430292647526339,0.9701230413567774,0.68
0.7000000000000001,0.40180201593722226,0.6996998160821789,0.36033233556414174,1.143724569618026,0.9348017953483005,0.7000000000000001
0.7200000000000001,0.6831101022111342,0.7343631266010496,0.32863774277672075,1.2211507616548214,0.972376574271576,0.7200000000000001
0.74,0.32091841432359697,0.7297863248705138,0.3491069585056005,1.2234388707820765,1.0117980490009821,0.74
0.76,0.590540859005692,0.7622488934686494,0.3643966544825695,1.28330168670905,0.9856695556977343,0.76
0.78,0.7591860186352634,0.8007378432160409,0.4005013521167567,1.3439685833139066,0.9621794596791651,0.78
0.8,0.740458869459968,0.8229198207188552,0.37461991211130014,1.3955832852597696,0.9817776666771022,0.8
0.8200000000000001,0.6148463001458437,0.8102351043877936,0.39180392702012434,1.5077018970235059,0.9732376676682473,0.8200000000000001
0.8400000000000001,0.7297100495229575,0.8197502650580165,0.43973875134922513,1.3817384356021776,0.9728063203473276,0.8400000000000001
0.86,0.9579090659238172,0.8736051295361643,0.4300745146437039,1.5273468289983272,0.9801940742299773,0.86
0.88,0.911693297233724,0.8489350313821212,0.4256078781456711,1.2532187955623586,0.9536680615887182,0.88
0.9,0.6197711512123409,0.8869502855422634,0.41849675313508256,1.4453450335159381,1.027729876106114,0.9
0.92,1.3472719887039375,0.8964113554267318,0.4326878578162795,1.4035369605571337,0.9746590526757964,0.92
0.9400000000000001,0.4245134906134704,0.9306577648354973,0.4375861523153887,1.5873348785789652,0.9944756417046343,0.9400000000000001
0.9600000000000001,0.7505919768915524,0.9909604313756933,0.48688789646324665,1.593020851071995,1.0064345540177306,0.9600000000000001
0.98,0.5148564690017625,0.9772533936532712,0.45499548924393496,1.7850712873133698,1.0241948960563836,0.98
1.0,3.1581820324513514,1.0059538861291162,0.506332564465652,1.7254903927159368,1.015299823321139,1.0
1.02,0.5014898091454685,0.9996368638825225,0.4722125292696235,1.662790292425616,0.9861337573343999,1.0
1.04,0.8291870153123493,1.0080937922027677,0.4688309621435059,1.6160111246832345,0.9746139368201933,1.0
1.06,0.6461608955839784,0.9848972911550944,0.4330971705920588,1.6300788724967121,0.9869540163874169,1.0
1.08,0.8471279793550904,0.9769011391546337,0.41764138316188376,1.6512458940902266,0.996014358520746,1.0
1.1,0.6106970385433566,0.988112313885675,0.4929618369141585,1.657083575059166,0.9744432507405036,1.0
1.12,0.64951721551819,0.9862521798212133,0.5483779874318763,1.7970582380495408,1.0191343074570067,1.0
1.1400000000000001,2.451120597228113,1.0408128188577865,0.5104092120658078,1.7106222739836177,1.0345556430927123,1.0
1.1600000000000001,1.504128422452404,1.0228839394268932,0.5135565008139155,1.8087168526322468,0.9965883158117791,1.0
1.18,1.4068814501568339,0.9901009685773974,0.5063108791608524,1.6474775542202316,1.0025766187406997,1.0
1.2,1.0990351606961326,0.9886385510561893,0.4951337786469804,1.6029857243290915,0.9947437532063486,1.0
1.22,1.3686814758123824,1.0008893354926232,0.49198425918282673,1.7039939593775737,0.9827810631703242,1.0
1.24,1.2103075411018946,1.0317012915421881,0.4984116579206043,1.8291185912359853,0.9890741772982745,1.0
1.26,1.086875370299479,0.998118225852203,0.5001789973221134,1.8735237817211516,1.0007548519652052,1.0
1.28,1.0026698961510376,0.9557127251748262,0.47930021204465534,1.6029526812491284,0.9979249628401231,1.0
1.3,1.3347623842652137,1.0236501991869484,0.43416766348664587,1.6967711277899162,0.9853507770411081,1.0
1.32,0.7017737235026619,1.0079274258549422,0.49732244901343275,1.6898897138205535,1.014911349829674,1.0
1.34,1.4786797536810983,1.0139550167731255,0.5133643112887556,1.5699848219833301,0.9827617696634312,1.0
1.36,1.6279772330488576,1.007830340720152,0.5158861638396205,1.739624579625233,1.0035276516613914,1.0
1.3800000000000001,1.2097080005488139,0.9640852032597104,0.47580192386120645,1.6007795719031739,0.973005381944692,1.0
1.4000000000000001,1.1781493121040323,1.0475796575143794,0.5097332752162509,1.6337655749677418,0.9885211832986996,1.0
1.4200000000000002,0.8336361035480527,0.996511657867853,0.5297030622053982,1.7077434263149134,1.0117833045257312,1.0
1.44,0.9899508021030224,1.0210955439639722,0.5410113498962739,1.796443162419035,1.0161460196445213,1.0
1.46,1.0507281901456722,0.9891759901111621,0.4860629792450284,1.7356962603466926,0.9891913907986678,1.0
1.48,1.365245212098643,1.0036568921785236,0.5596320458365796,1.7282608849824792,0.9353015453764846,1.0
1.5,1.4175923184744093,0.9813445543337114,0.4807353387192924,1.7471602562235402,1.0135121303593906,1.0
1.52,1.2615353392529196,1.0110750915410054,0.5014968424315565,1.6823137293753128,0.9845994181272646,1.0
1.54,0.7822018205384648,1.0105246266044998,0.5246878020137059,1.6389413487651325,1.0089719535487025,1.0
1.56,1.1017092339415637,0.9970067995843908,0.5163009904641763,1.6236215941812986,1.0041989061340217,1.0
1.58,0.7040577599448196,1.0178842075354146,0.48674151654256437,1.6078499996500517,1.0190116667508555,1.0
1.6,0.7812980061347231,1.0266550220279826,0.5056094017211816,1.6241695398951064,1.0143799575647403,1.0
1.62,0.8781615203726579,0.9929266155591018,0.45088428107937767,1.6084145680505273,0.9762869544687873,1.0
1.6400000000000001,1.035796760005535,1.0228967026516562,0.4596983416332026,1.6526709982994103,1.021393319752929,1.0
1.6600000000000001,1.43120828008513,1.0203103762519499,0.5054224879130367,1.7033820396488888,0.9565232349089541,1.0
1.6800000000000002,0.6256718236632941,0.9725800434649661,0.5072563912938352,1.6745070316181507,0.9963009403936248,1.0
1.7,0.7440252127374847,0.9822422110853947,0.4435095522716667,1.7374617338922942,0.9723128167703289,1.0
1.72,1.3786294421668284,1.0145966585529744,0.5187037114582111,1.7252953615184095,0.9990834168473401,1.0
1.74,1.0338971654705265,0.9882031588100867,0.5108312606571569,1.6610181831369961,0.9804703246412352,1.0
1.76,0.8726021638486787,1.0270298876601363,0.487701725410512,1.609470276259057,0.9748392369092612,1.0
1.78,0.6551094529763535,0.965203542289709,0.5067054965846112,1.6375369348677142,0.9911886679177172,1.0
1.8,0.6981159034012193,1.0485489230889313,0.5664201159772316,1.781349072553418,0.9694056928349368,1.0
1.82,0.8531361683113583,1.0342893940744065,0.5467716521026496,1.7583653075964227,0.993775123508205,1.0
1.84,1.05954824935726,1.026824705470039,0.4985941035408067,1.74302259278845,1.0042703875388415,1.0
1.86,1.1450073939960046,1.0100546566684825,0.49818809427414673,1.6996466852915177,1.0008992738418387,1.0
1.8800000000000001,1.3698022584230245,1.0116150390427776,0.5765915421415612,1.632535277565601,0.9788804280647472,1.0
1.9000000000000001,0.6246068391617741,0.9891958053807954,0.49857952908448416,1.6585735261671568,1.0135178557932456,1.0
1.9200000000000002,0.4103476456998544,0.9998417293999279,0.4066995606379721,1.6686947938612477,0.9932962141397933,1.0
1.94,0.9811185465389864,1.0062884605174471,0.47728458210693,1.6305949142065237,0.966569057656639,1.0
1.96,0.9643002586969344,1.002622770821141,0.48001477261108527,1.6668708596885897,1.0197952770335788,1.0
1.98,0.9242963046030951,0.9756049112199131,0.4630057717690752,1.6095904406424943,0.9679320694595296,1.0
2.0,1.3024646782481892,0.9545940850084147,0.41977759760364625,1.6024564469901716,0.9616063406067501,1.0
