run_block,prime,repetition,period_theoretical,period_observed,absolute_error,error_in_fwhm,fwhm_instrument,amplitude_real,amplitude_imag,z_primary,p_adjusted,coefficient_theoretical,fit_coefficient_real,fit_coefficient_imag,fit_ratio_to_theory,fit_phase_error_rad,detection_limit_coefficient,predicted_detectable,z_predicted,clearly_detectable,detected,inconclusive_candidate_within_tolerance,resolved,nearest_neighbor_separation,ratio_to_theory__band_no_conjugate,ratio_to_theory__centers_conjugate
c01,2,1,0.6931471805599453,0.693147175492648,5.067297248473324e-09,6.624269226511711e-07,0.00764959435554482,33.55539954344112,-51.28919694058987,5.4740954541162745,0.001,-0.1560129290391036,-0.1560129241967041,5.44662227819348e-09,0.99999996896155,-3.491135305768817e-08,0.09347160491595073,True,5.474146850124858,True,True,False,True,0.4054651081081645,0.9999999680915465,1.0000002373307488
c01,3,1,1.0986122886681098,1.0986123459628248,5.729471497240013e-08,7.489902380362165e-06,0.00764959435554482,-54.50022416299997,57.62774438978076,6.912601670077968,0.001,-0.20189889986939866,-0.20189888743650697,1.2834992568766523e-08,0.9999999384202108,-6.357138829109619e-08,0.09578779890377165,True,6.912884670920798,True,True,False,True,0.2876820724517808,0.999999940430372,1.0000004667632476
c01,2,2,1.3862943611198906,1.3862941967414042,1.643784863780695e-07,2.1488523278220564e-05,0.00764959435554482,17.35859381609892,39.71085569829139,3.700030301938109,0.001,-0.1103178000763258,-0.11031780578819489,1.0770217578892627e-08,1.0000000517764955,-9.7629004691871e-08,0.0977489683169199,True,3.7014250781184543,False,True,False,True,0.2231435513142097,1.0000000720838371,0.9999996022503651
c01,5,1,1.6094379124341003,1.6094382320401228,3.1960602253633397e-07,4.178078048081949e-05,0.00764959435554482,41.68274736700224,-79.77259663768187,7.548416891150704,0.001,-0.22910752440522542,-0.2291075324496988,-1.5930529877021538e-08,1.0000000351122182,6.953298176924455e-08,0.09927567451910788,True,7.5688876521346,True,True,False,True,0.2231435513142097,1.0000000337916337,0.9999997325118274
c01,7,1,1.9459101490553132,1.9459103632745747,2.142192614407179e-07,2.800400275936733e-05,0.00764959435554482,65.85031278906543,-64.20788069142746,7.565569538319731,0.001,-0.23411211608563706,-0.23411211102108517,6.920649046893157e-09,0.9999999783669808,-2.9561260272732538e-08,0.10137741011700768,True,7.57387705632907,True,True,False,True,0.13353139262452252,0.9999999768640656,1.0000001627500263
c01,2,3,2.0794415416798357,,,,0.00764959435554482,,,,,-0.0780064645195518,-0.07800644799999895,-3.5165202312559263e-09,0.9999997882284122,4.5079866106145114e-08,0.10155522471836889,False,2.519207126200257,False,False,False,True,0.11778303565638382,0.999999805116657,1.0000016284151114
c01,3,2,2.1972245773362196,2.1972245254028606,5.1933358946598673e-08,6.78903436349598e-06,0.00764959435554482,2.5526740354572968,45.722615666491315,3.6499149922413925,0.003,-0.1165663841886866,-0.11656638367432087,-1.768167259309783e-08,0.999999995587358,1.5168757952120376e-07,0.10473795269017165,True,3.6501002912502134,False,True,False,True,0.11778303565638382,0.9999999983186055,1.000000041321861
c01,11,1,2.3978952727983707,2.3978950350258827,2.3777248792100636e-07,3.108301916018025e-05,0.00764959435554482,-2.397472471896714,90.37837577742131,7.237761842263656,0.001,-0.23013570108523157,-0.23013570204434053,-1.7282441403324023e-08,1.00000000416758,7.50967418344945e-08,0.10417407487113996,True,7.245358791448206,True,True,False,True,0.16705408466316607,1.000000006283845,0.9999999610772762
c01,13,1,2.5649493574615367,2.564949230417768,1.270437688383197e-07,1.6607909247662502e-05,0.00764959435554482,42.52684738981055,-78.13571509414125,6.6361962550023685,0.001,-0.22644213759952758,-0.22644213040030256,1.4451236842599746e-08,0.9999999682072201,-6.381867551348748e-08,0.11092503857886944,True,6.695194688144817,True,True,False,True,0.16705408466316607,0.9999999695101112,1.000000238419739
c01,2,4,2.772588722239781,,,,0.00764959435554482,,,,,-0.0551589000381629,-0.05515890282984334,3.832746550691546e-10,1.0000000506116047,-6.948554728354503e-09,0.11145823040793872,False,1.6230765613459948,False,False,False,True,0.06062462181643502,1.000000044070412,0.9999996248819305
