peak_id,grid_period,period,fwhm_instrument,z,p_adjusted_primary,class_primary,detected_primary,z_secondary,p_adjusted_secondary,class_secondary,detected_secondary,z_refined,amplitude_real,amplitude_imag,modulus,phase_rad,null_noise_rms
0,0.6930387840472705,0.6931473743157567,0.007460436098445238,5.631584992011067,0.001,detected,True,8.052919917710303,0.005,detected,True,5.634483611037082,47.912362846490566,-40.66771179392418,62.844707781064976,-0.7037933286253006,11.152985782307894
1,1.0986999969002302,1.0986121289681678,0.007460436098445238,7.175748743503531,0.001,detected,True,7.9906677462067845,0.005,detected,True,7.179067332869886,71.10830876567009,39.47007238108721,81.32821275106282,0.5067272120840904,11.329541873976803
2,1.385926786690372,1.386294598551059,0.007460436098445238,3.6797270027574647,0.002,detected,True,3.9756735103916556,0.005,detected,True,3.7024498293842214,-7.220408693824966,43.84739628872599,44.4379169517029,1.7340029614038115,11.997726622561537
3,1.609739869643729,1.6094375958636533,0.007460436098445238,7.654406737370454,0.001,detected,True,7.557488500056172,0.005,detected,True,7.685776011689334,-59.8427660714916,-70.25662680405253,92.28840805307664,-2.276319372045952,12.003825128647728
4,1.9454594940737648,1.9459101903395297,0.007460436098445238,7.727236127860681,0.001,detected,True,6.7535052761501735,0.005,detected,True,7.800148486356832,-78.66421203155642,52.01196563971102,94.30430968016331,2.5573913969241753,12.084793750611606
5,2.197249212396292,2.197224545359602,0.007460436098445238,3.7905434937896145,0.001,detected,True,3.2467085253120636,0.07,inconclusive,False,3.790784641431888,-24.83604762059879,-39.84894787160842,46.95495615892763,-2.1281396748867336,12.387030844520948
6,2.3977484325420075,2.3978955053495064,0.007460436098445238,7.22250261984308,0.001,detected,True,6.061630948283468,0.005,detected,True,7.230082668436152,34.239490148029745,86.14771669481273,92.70259854678693,1.1924893532266148,12.821865034525903
7,2.5646756902447194,2.5649496654738986,0.007460436098445238,6.843702775656482,0.001,detected,True,5.76064741088669,0.005,detected,True,6.867904605337717,64.89673015145846,-64.09778641584124,91.21464689271136,-0.7792046170280366,13.280056935325375
8,2.833251389788748,2.8332132794651694,0.007460436098445238,6.472931106955036,0.001,detected,True,5.461389953660835,0.005,detected,True,6.473592260080563,-41.166922745544845,-77.89870931448684,88.10745962289785,-2.0569575886860867,13.610725949031389
9,2.944225376753121,2.94443927526535,0.007460436098445238,6.044698471053431,0.001,detected,True,5.018715120310988,0.005,detected,True,6.056775215304758,42.29936219337708,-75.58163482326054,86.61304500202732,-1.0605734778185227,14.297169872653665
10,3.13539905177578,3.1354943685366066,0.007460436098445238,5.841073359634548,0.001,detected,True,4.901092218413584,0.005,detected,True,5.844023901157776,75.41361031807791,36.60939904562488,83.82995120891285,0.45193852075162383,14.345521348910331
11,3.3676051253398884,3.367295518746255,0.007460436098445238,5.344892529291793,0.001,detected,True,4.42212674814478,0.005,detected,True,5.369642645307257,-79.9867859102883,-5.491578555763205,80.17507939062122,-3.0730441509430895,14.931046968531323
12,3.43381649571359,3.433987477054277,0.007460436098445238,5.237586247411892,0.001,detected,True,4.4994559658437945,0.005,detected,True,5.24523022861746,30.272874322224933,-73.0578766882774,79.08160510465612,-1.1779651035667837,15.077590707385001
13,3.6110018530516643,3.6109177629780724,0.007460436098445238,5.078603426981129,0.001,detected,True,4.09849765504047,0.005,detected,True,5.080047390425463,69.86714718500323,-30.201873977604727,76.11551384264592,-0.408017103663302,14.9823809781648
14,3.7135828494052863,3.713572052192887,0.007460436098445238,4.7761998545737665,0.001,detected,True,3.9052051295800205,0.005,detected,True,4.776175472061767,-59.37533896163876,44.77074200053786,74.36296266346723,2.4955178114769874,15.5693955667898
15,3.7611431295328748,3.761200193047782,0.007460436098445238,4.673725609275252,0.001,detected,True,3.9259529309773056,0.005,detected,True,4.674293767700334,46.98415849992916,-56.57961648349895,73.54430060423644,-0.877787042653641,15.733221238470719
16,3.849735808201912,3.850147754722704,0.007460436098445238,4.443448495508163,0.001,detected,True,3.8377423856060817,0.005,detected,True,4.482726482879915,69.52401030392618,18.753186625054877,72.00881902471787,0.2634665361434179,16.07318839435283
17,3.9700353402893414,3.97029223760148,0.007460436098445238,4.342241246740824,0.001,detected,True,3.5511792624307232,0.03,inconclusive,False,4.35518417486648,-62.08565588953589,32.17269855095897,69.92646994725774,2.663492403467333,16.05256464769715
18,4.0772791092044915,4.077537702403595,0.007460436098445238,4.098760528876739,0.001,detected,True,3.434344454300892,0.035,inconclusive,False,4.112090610619403,59.971703843729706,32.19238762590473,68.06581434888241,0.4926469267276037,16.55293405345143
19,4.110851071647495,4.110873952567569,0.007460436098445238,4.118225546284897,0.001,detected,True,3.4433302301143223,0.035,inconclusive,False,4.1182962963367755,-25.450760087068193,-62.505085467118164,67.48797595321146,-1.9574761619120902,16.387220865282483
20,4.205039077390366,4.204692345882294,0.007460436098445238,3.8493099696537922,0.001,detected,True,3.3518858571108545,0.035,inconclusive,False,3.8737116231122273,-17.74708242129598,63.42897637097236,65.86496775933047,1.8436145136086022,17.011762199929944
21,4.262857457153316,4.2626796799466415,0.007460436098445238,3.784265862342584,0.001,detected,True,3.2698502166783916,0.055,inconclusive,False,3.789827408759238,-25.85325159972243,59.490398853428346,64.86523085612615,1.9807520422247002,17.1146647507343
22,4.290834092522486,4.290459148545121,0.007460436098445238,3.7642685241395526,0.001,detected,True,3.1964183306012677,0.1,not_detected,False,3.7891714696153285,-64.16702593125257,5.321792766787714,64.387333343715,3.058845465849272,16.98905610114624
23,4.369168671556162,4.369448119135081,0.007460436098445238,3.596028216461306,0.005,detected,True,3.181057770061005,0.105,not_detected,False,3.6088095586287485,43.00761033298195,-46.08190239639332,63.03329497197758,-0.8198923766476464,17.46263972804097
