run_block,prime,repetition,period_theoretical,period_observed,absolute_error,error_in_fwhm,fwhm_instrument,amplitude_real,amplitude_imag,z_primary,p_adjusted,coefficient_theoretical,fit_coefficient_real,fit_coefficient_imag,fit_ratio_to_theory,fit_phase_error_rad,detection_limit_coefficient,predicted_detectable,z_predicted,clearly_detectable,detected,inconclusive_candidate_within_tolerance,resolved,nearest_neighbor_separation,ratio_to_theory__band_no_conjugate,ratio_to_theory__centers_conjugate
b05,2,1,0.6931471805599453,0.6931473005050472,1.1994510196178254e-07,1.664695636649918e-05,0.007205227149099973,53.231164971641796,-37.42487745622281,5.726665809163147,0.001,-0.1560129290391036,-0.15601293437262173,2.276543328849634e-09,1.0000000341863855,-1.4592016604292122e-08,0.08793290934377561,True,5.7760330112164615,True,True,False,True,0.4054651081081645,1.0000000273299534,0.9999997398992577
b05,3,1,1.0986122886681098,1.0986120096948715,2.789732382879606e-07,3.871817397496039e-05,0.007205227149099973,58.39519777821722,-60.67235784696761,7.246250919416908,0.001,-0.20189889986939866,-0.2018989078013993,-9.889357388548348e-10,1.0000000392869928,4.898172801546877e-09,0.09020542813736022,True,7.286547476717787,True,True,False,True,0.2876820724517808,1.0000000360175951,0.9999997025403233
b05,2,2,1.3862943611198906,1.386294444754125,8.36342344268104e-08,1.1607438973975638e-05,0.007205227149099973,-15.571378848598348,43.296930056936915,3.948960216703455,0.001,-0.1103178000763258,-0.11031779590703178,9.11177535853347e-09,0.9999999622065159,-8.259569803417958e-08,0.09093154606869767,True,3.949585647255612,False,True,False,True,0.2231435513142097,0.9999999884309624,1.0000002873920621
b05,5,1,1.6094379124341003,1.6094376616692334,2.507648668714779e-07,3.480318686452539e-05,0.007205227149099973,-25.913339913068782,91.97652763972609,7.988806204817152,0.001,-0.22910752440522542,-0.2291075318888952,-7.661664094826826e-09,1.0000000326644436,3.344134534408199e-08,0.09322284370456976,True,8.000875721584212,True,True,False,True,0.2231435513142097,1.0000000323013183,0.9999997545761764
b05,7,1,1.9459101490553132,1.945910375433193,2.2637787977508594e-07,3.141856253669442e-05,0.007205227149099973,83.298464401165,50.949323028161245,7.835250848504408,0.001,-0.23411211608563706,-0.2341121104202297,-3.352194022365751e-09,0.9999999758004521,1.4318755302101137e-08,0.09664430339159617,True,7.886206575162497,True,True,False,True,0.13353139262452252,0.9999999594022138,1.0000001841671167
b05,2,3,2.0794415416798357,,,,0.007205227149099973,,,,,-0.0780064645195518,-0.07800646236406925,1.0665055779485177e-08,0.9999999723678984,-1.367201569750658e-07,0.0972625354293859,False,2.6109919143054734,False,False,False,True,0.11778303565638382,0.999999954216491,1.0000002166580437
b05,3,2,2.1972245773362196,2.19722472974956,1.5241334061499856e-07,2.115316248343912e-05,0.007205227149099973,1.8589980001685813,48.58247476443048,3.8828856168206354,0.001,-0.1165663841886866,-0.11656638427797265,5.725974215609053e-09,1.0000000007659675,-4.9122002463029775e-08,0.09690262925849309,True,3.916140663612461,False,True,False,True,0.11778303565638382,1.0000000295951095,0.9999999941795885
b05,11,1,2.3978952727983707,2.397895574047238,3.012488671849667e-07,4.18097668471974e-05,0.007205227149099973,80.91369546567354,-51.63630516796754,7.487196122355538,0.001,-0.23013570108523157,-0.23013569403207162,4.4894726825006614e-10,0.9999999693521696,-1.950793726884892e-09,0.09983844087495922,True,7.504240162755278,True,True,False,True,0.16705408466316607,0.9999999721615211,1.0000002320605503
b05,13,1,2.5649493574615367,2.564949043604478,3.138570585647926e-07,4.355963414755043e-05,0.007205227149099973,-75.40595039199964,56.8674495004238,7.064026063859532,0.001,-0.22644213759952758,-0.2264421370687807,1.411968583719947e-09,0.9999999976561479,-6.235449823948042e-09,0.10402803784990035,True,7.08642765029643,True,True,False,True,0.16705408466316607,0.9999999977544993,1.0000000153351003
b05,2,4,2.772588722239781,,,,0.007205227149099973,,,,,-0.0551589000381629,-0.05515889512525093,-6.735898588905442e-09,0.9999999109316544,1.2211808401183535e-07,0.10714928197424835,False,1.6758951745565824,False,False,False,True,0.06062462181643502,0.9999998568063262,1.0000006416201632
b05,17,1,2.833213344056216,2.8332131560718574,1.8798435874600727e-07,2.608999756093588e-05,0.007205227149099973,-70.31943486887248,-58.11847166091192,6.540196843488349,0.001,-0.21872828371837585,-0.21872827692272676,-1.108734394572597e-08,0.9999999689310912,5.069003469379015e-08,0.1080400894994226,True,6.590836353579286,True,True,False,True,0.06062462181643502,0.9999999788968728,1.0000002328990119
