bin_low,bin_high,count,r2_zeros,r2_montgomery_bin_average,r2_gue_q025,r2_gue_q975,r2_poisson_mean
0.0,0.1,0,0.0,0.010880075773905347,0.0,0.010006183484706785,0.9736911583742504
0.1,0.2,3,0.030003560019743806,0.07413404796904365,0.009004941877545596,0.1109636815164172,1.0136476135116836
0.2,0.30000000000000004,11,0.11002406882704238,0.19095854114451255,0.04904415468413966,0.19574587420228784,1.0137261587492181
0.30000000000000004,0.4,26,0.26008293161970264,0.34397032721535337,0.174768400349998,0.3211576586431003,1.009650809266526
0.4,0.5,33,0.33013831886619455,0.5115819583831043,0.319211677518086,0.5156411651454765,0.9840143787518303
0.5,0.6000000000000001,67,0.6703479634671717,0.6721885543830428,0.4580360413176051,0.7629198324498114,1.0382264684299833
0.6000000000000001,0.7000000000000001,82,0.8205080465073358,0.8080880987057939,0.7479434878955161,0.9793490923631569,0.9911194515726184
0.7000000000000001,0.8,113,1.1308133846719075,0.9082828445338809,0.8056411730161118,1.0798097619824336,1.0221906040356348
0.8,0.9,100,1.0008200700628442,0.9696220624379864,0.7886014932925703,1.0716512442267938,0.9875664082278673
0.9,1.0,116,1.161067606897212,0.9961768215519745,0.875412029719976,1.2017626010661355,1.0365421464092683
1.0,1.1,94,0.9409594124871239,0.9971682598039076,0.9296047900313088,1.2421597493050902,0.9914762883321785
1.1,1.2000000000000002,80,0.8008967779957235,0.9840897678865965,0.8976915311228542,1.2522752365617913,1.0047103725348068
1.2000000000000002,1.3,94,0.9411480347062876,0.9677947309947522,0.8145230920197133,1.185223475061237,1.0010680635084153
1.3,1.4000000000000001,91,0.9112027239370568,0.9562443325964873,0.7276397161877054,1.0510989651412392,1.013851321951579
1.4000000000000001,1.5,107,1.0715215998312435,0.9533617580525252,0.7440347344097893,1.0136624343397758,1.0207875974486307
1.5,1.6,98,0.9814920081600781,0.9591011977685195,0.7599531332785704,1.105383461775249,1.0066751347875558
1.6,1.7000000000000002,93,0.9315092773115502,0.9705117715364148,0.7835501926539931,1.1738944991099043,0.9815747687840303
