run_block,prime,repetition,period_theoretical,period_observed,absolute_error,error_in_fwhm,fwhm_instrument,amplitude_real,amplitude_imag,z_primary,p_adjusted,coefficient_theoretical,fit_coefficient_real,fit_coefficient_imag,fit_ratio_to_theory,fit_phase_error_rad,detection_limit_coefficient,predicted_detectable,z_predicted,clearly_detectable,detected,inconclusive_candidate_within_tolerance,resolved,nearest_neighbor_separation,ratio_to_theory__band_no_conjugate,ratio_to_theory__centers_conjugate
d01,2,1,0.6931471805599453,0.6931471270588809,5.350106435653146e-08,8.828658794293048e-06,0.006059931140516518,-76.51039286527897,-26.22560869805354,5.95141236409268,0.0001,-0.1560129290391036,-0.15601292907367434,-4.2379748148302365e-11,1.000000000221589,2.716425388583614e-10,0.08641680564557673,True,5.95136938557635,True,True,False,True,0.4054651081081645,1.0000000004446374,1.0000000000000981
d01,3,1,1.0986122886681098,1.0986128686850227,5.80016912943293e-07,9.571344945907344e-05,0.006059931140516518,10.829071393091754,104.10682886403133,7.4780346178062755,0.0001,-0.20189889986939866,-0.20189889989366167,2.8378466243594858e-11,1.000000000120174,-1.405578052111306e-10,0.08878245389622869,True,7.4965481169769275,True,True,False,True,0.2876820724517808,1.00000000009692,0.9999999994567494
d01,2,2,1.3862943611198906,1.3862944779812072,1.1686131662358434e-07,1.9284264773613198e-05,0.006059931140516518,-45.16501354858817,-35.084706703265276,4.076711311368053,0.0001,-0.1103178000763258,-0.11031780008783684,6.662805029922225e-11,1.0000000001043443,-6.039646389446844e-10,0.08919736595241715,True,4.077069248475084,False,True,False,True,0.2231435513142097,1.000000000012652,0.9999999997222148
d01,5,1,1.6094379124341003,1.6094374178860062,4.945480940321545e-07,8.160952369996761e-05,0.006059931140516518,-94.93584584254167,71.37548008930796,8.35580445246266,0.0001,-0.22910752440522542,-0.2291075243978576,4.176069212658007e-11,0.9999999999678412,-1.8227551555251572e-10,0.08987690564192333,True,8.403220619938667,True,True,False,True,0.2231435513142097,0.9999999999464271,1.0000000001233489
d01,7,1,1.9459101490553132,1.9459096480651112,5.009902019903478e-07,8.267258989805056e-05,0.006059931140516518,89.2495325325331,82.24869480771146,8.055460206979708,0.0001,-0.23411211608563706,-0.23411211604126486,8.965421460782608e-11,0.9999999998104661,-3.8295418504535466e-10,0.09567170700410929,True,8.066681177450754,True,True,False,True,0.13353139262452252,0.9999999998119335,0.9999999994273294
d01,2,3,2.0794415416798357,,,,0.006059931140516518,,,,,-0.0780064645195518,-0.07800646447910228,-6.175353284287866e-11,0.9999999994814595,7.916463495076393e-10,0.09306844528804446,False,2.7630112973663987,False,False,False,True,0.11778303565638382,0.9999999994812849,1.0000000014118027
d01,3,2,2.1972245773362196,2.1972241825611607,3.9477505886509334e-07,6.514513939368702e-05,0.006059931140516518,59.13667746424349,-12.437206963024243,4.022602299254909,0.0001,-0.1165663841886866,-0.1165663842236585,2.8125522744115727e-11,1.0000000003000171,-2.412833076313894e-10,0.09486504936684746,True,4.0506210283633814,False,True,False,True,0.11778303565638382,1.0000000003152294,1.000000000105782
d01,11,1,2.3978952727983707,2.397895255301282,1.7497088666829086e-08,2.8873411695793168e-06,0.006059931140516518,104.98926818670245,56.669553934867764,7.855877215800688,0.0001,-0.23013570108523157,-0.23013570102190464,-1.5349764536688737e-10,0.9999999997248279,6.669875411997778e-10,0.09560977569420104,True,7.934804332919396,True,True,False,True,0.16705408466316607,0.9999999997370377,0.9999999997927002
d01,13,1,2.5649493574615367,2.564949479216503,1.217549661092221e-07,2.0091806868096576e-05,0.006059931140516518,117.1158726320663,-8.052346913803088,7.553300611174651,0.0001,-0.22644213759952758,-0.22644213762704518,2.789079167273001e-11,1.0000000001215215,-1.2316961836258017e-10,0.09882480909390612,True,7.553457444089756,True,True,False,True,0.16705408466316607,1.000000000104631,1.0000000013809656
d01,2,4,2.772588722239781,,,,0.006059931140516518,,,,,-0.0551589000381629,-0.05515890014266234,-3.977888851647293e-11,1.0000000018945163,7.21168993826731e-10,0.09945312588120893,False,1.8283177856267387,False,False,False,True,0.06062462181643502,1.0000000019396686,1.0000000002288865
