bin_low,bin_high,count,r2_zeros,r2_montgomery_bin_average,r2_gue_q025,r2_gue_q975,r2_poisson_mean
0.0,0.05,0,0.0,0.0027361519686698883,0.0,0.019999486843811046,0.9929976573113416
0.05,0.1,0,0.0,0.01902399957914082,0.0,0.05998754509535642,1.017440745156232
0.1,0.15000000000000002,1,0.02000187270818708,0.05096164406779774,0.0,0.1199686852231591,0.9870259540380578
0.15000000000000002,0.2,2,0.040005748019733625,0.09730645187028958,0.020011616820911415,0.2110492135268291,0.9901088641785694
0.2,0.25,4,0.08001550164721066,0.15627610360158573,0.0600175610195568,0.3021661409891753,1.003246021688664
0.25,0.30000000000000004,7,0.1400341383980679,0.22564097868743943,0.12896601454001747,0.34005507571747967,0.9936156027065733
0.30000000000000004,0.35000000000000003,6,0.12003527109901821,0.3028384459344864,0.14914035407016052,0.4603973678765033,1.0180789462231488
0.35000000000000003,0.4,20,0.4001376043859532,0.38510220849622023,0.2399354530370044,0.5200735128077076,1.0052371436141962
0.4,0.45,17,0.3401339943809476,0.469599033804257,0.2602386166091131,0.6312126780456364,0.9913398511773036
0.45,0.5,16,0.3201421428136185,0.5535648829619515,0.3807417593810226,0.7391845153098736,0.9962395005108983
0.5,0.55,33,0.6603262356781247,0.6344326545946251,0.4398090826644378,0.8007843601854278,1.013226362315803
0.55,0.6000000000000001,34,0.6803701931488857,0.7099444541714603,0.5204770599604803,0.9133254953196924,1.0148854896339354
0.6000000000000001,0.65,41,0.8204874997710422,0.7782424364076252,0.5495908370144875,1.0413273502804279,0.9903450289497592
0.65,0.7000000000000001,41,0.8205285942727222,0.8379337610039622,0.6605013074735082,1.0811397733213013,0.9716353412415781
0.7000000000000001,0.75,55,1.1007642221709704,0.8881269430374373,0.6600338853677951,1.1316816624772084,1.0182867862609624
0.75,0.8,58,1.1608640523500329,0.9284387460303243,0.6496422932622719,1.2317979513331967,1.0000052281452942
0.8,0.8500000000000001,44,0.8806996026618157,0.9589726292614065,0.7272464091057035,1.2112129318501694,0.9824563170003644
0.8500000000000001,0.9,56,1.1209465549594415,0.9802714956145663,0.740851712834075,1.232139274763697,0.9962385030353467
0.9,0.9500000000000001,55,1.10098480658304,0.9932489786832037,0.7702857348119213,1.2835302285667407,1.0033272570977811
0.9500000000000001,1.0,61,1.2211534173912466,0.9991046644207453,0.7479624338720808,1.2731712723391104,1.0088341002374777
1.0,1.05,44,0.8808761055559378,0.9992293959908076,0.7506966254207719,1.3110894614354096,0.9939470869247687
1.05,1.1,50,1.0010457299252107,0.9951071236170075,0.7206654773557092,1.2715737897593051,1.0045390013878375
1.1,1.1500000000000001,40,0.8008767123051361,0.9882196293391358,0.7694536437689496,1.2321417693094099,1.0136628669805479
