bin_low,bin_high,count,r2_zeros,r2_montgomery_bin_average,r2_gue_q025,r2_gue_q975,r2_poisson_mean
0.0,0.05,2,0.004000102006676205,0.0027361519686698883,0.0,0.008000296906632082,1.003774590551656
0.05,0.1,3,0.006000183013314663,0.01902399957914082,0.006899881189221563,0.03399888403464043,0.9985889240523773
0.1,0.15000000000000002,12,0.024000852067660304,0.05096164406779774,0.033995357219128955,0.07019797476502751,1.0031387701425325
0.15000000000000002,0.2,25,0.050002025173462986,0.09730645187028958,0.0728935163913944,0.12907923227599738,0.9895097677779368
0.2,0.25,54,0.10800491445028994,0.15627610360158573,0.12198004545424875,0.18931755883561754,1.0017144744536297
0.25,0.30000000000000004,67,0.1340067676592068,0.22564097868743943,0.1818132037628583,0.27038465633037956,0.9972556350042145
0.30000000000000004,0.35000000000000003,112,0.224012433281184,0.3028384459344864,0.2609096237771546,0.3450745884237372,0.9942718879887955
0.35000000000000003,0.4,170,0.34002057223369864,0.38510220849622023,0.3324902929369643,0.43927266816942995,0.9927216288220099
0.4,0.45,189,0.37802476182360206,0.469599033804257,0.4168777092726397,0.5270780723122537,0.9967862206419761
0.45,0.5,244,0.48803440810896337,0.5535648829619515,0.48470048484050254,0.609072457953846,0.9954971800183015
0.5,0.55,304,0.6080459097274705,0.6344326545946251,0.5740051621111435,0.6965773403934962,1.002190465255021
0.55,0.6000000000000001,338,0.6760544250779732,0.7099444541714603,0.6469838423073697,0.7681597444014587,1.0012241322100102
0.6000000000000001,0.65,396,0.792067725163905,0.7782424364076252,0.7069971913199613,0.8499859106351897,0.9948270142289252
0.65,0.7000000000000001,409,0.8180740394056254,0.8379337610039622,0.7738450102113065,0.9110607498937723,1.0108299599161092
0.7000000000000001,0.75,518,1.0360989524222213,0.8881269430374373,0.805418054558886,0.9654682982706921,0.9994818788972136
0.75,0.8,514,1.0281033295961253,0.9284387460303243,0.8677541761241658,1.0098916488384413,1.0023359208567715
0.8,0.8500000000000001,509,1.0181074157681047,0.9589726292614065,0.8750107149372843,1.0485024716862212,1.0029065165180382
0.8500000000000001,0.9,497,0.9941098547149952,0.9802714956145663,0.8887616963475176,1.0676601931659466,0.9985885576797886
0.9,0.9500000000000001,501,1.0021157502606999,0.9932489786832037,0.9072814305150748,1.0654023974081128,0.9990579580117905
0.9500000000000001,1.0,534,1.0681287160783488,0.9991046644207453,0.9237711005975052,1.0775421713846358,0.9866607883647208
1.0,1.05,497,0.9941247690399483,0.9992293959908076,0.9137396792050495,1.1008055553082228,1.0003805989442858
1.05,1.1,510,1.0201331341978552,0.9951071236170075,0.927067690044315,1.0805776808921823,0.9924685786398404
1.1,1.1500000000000001,468,0.9361268517030897,0.9882196293391358,0.9114139857868653,1.0702739536378512,1.0030174782468475
1.1500000000000001,1.2000000000000002,470,0.94013209535581,0.9799599064340573,0.9035698026509849,1.0565880774663388,0.9946797814409758
1.2000000000000002,1.25,490,0.9801426181012539,0.9715590603533639,0.8940546148485421,1.0625158304386992,1.0014310128115476
1.25,1.3,459,0.9181381869303799,0.9640304016361405,0.8789959626439976,1.0553183091296376,1.0009710126701015
1.3,1.35,461,0.922143400712173,0.9581330178583936,0.873854739295018,1.0412456026425505,0.9961898070663432
1.35,1.4000000000000001,461,0.9221480124183916,0.9543556473345811,0.8788622141665725,1.032229878214686,1.0050029513222183
1.4000000000000001,1.4500000000000002,508,1.0161681845525699,0.9529202394948445,0.8751292218218284,1.0322486734581466,1.0092083057186707
1.4500000000000002,1.5,454,0.9081548484382294,0.9538032766102058,0.8806435899979083,1.0186267436830432,1.0004056064884337
1.5,1.55,481,0.962168869410942,0.956771836082967,0.8818666692285464,1.0300974792063113,1.0035420400739343
1.55,1.6,484,0.9681747646355744,0.9614305594540723,0.8784199012607261,1.0445945776601475,1.0048396157970831
1.6,1.6500000000000001,517,1.0341918525783236,0.967275207295959,0.8877329061351189,1.0591645583930034,1.004622837246388
1.6500000000000001,1.7000000000000002,485,0.9701848298434563,0.9737483357768706,0.8917789339470518,1.0563118325624885,0.9972741818133911
1.7000000000000002,1.75,516,1.0322018059809535,0.9802928220454741,0.9058572649663924,1.0663065881970308,1.0002086619105122
1.75,1.8,491,0.9821969407696959,0.9863994582833291,0.9090277995470117,1.0623878046972355,0.9951436145084585
1.8,1.85,499,0.9982051418768606,0.991645573970841,0.9101413141615413,1.0718798452277272,0.9942396229226783
