n,unfolded_x,spacing_s
199,198.72250485,0.52689597
200,199.24940082,1.01422832
201,200.26362914,1.36514860
202,201.62877774,1.22635640
203,202.85513414,0.67701661
204,203.53215075,0.91058073
205,204.44273147,0.59526378
206,205.03799526,1.62381295
207,206.66180821,0.90731656
208,207.56912477,1.04163118
209,208.61075595,0.97052877
210,209.58128472,0.85946052
211,210.44074524,1.17058665
212,211.61133188,0.29108839
213,211.90242028,1.95790084
214,213.86032112,0.98513664
215,214.84545776,0.52340881
216,215.36886656,0.95909087
217,216.32795743,1.09858628
218,217.42654371,0.90736959
219,218.33391330,1.43552697
220,219.76944027,0.61736016
221,220.38680043,1.47959278
222,221.86639321,0.65441282
223,222.52080603,0.56370173
224,223.08450776,1.17933854
225,224.26384630,1.53214636
226,225.79599266,0.95910511
227,226.75509777,0.70259405
228,227.45769182,0.87653111
229,228.33422293,1.19389757
230,229.52812050,0.82692599
231,230.35504649,0.95856854
232,231.31361503,1.72360743
233,233.03722246,0.39443751
234,233.43165997,1.15929615
235,234.59095612,0.66500047
236,235.25595659,0.86802879
237,236.12398538,1.75869496
238,237.88268035,0.67317313
239,238.55585348,0.92297658
240,239.47883006,1.07495140
241,240.55378146,1.09907879
242,241.65286025,0.39254060
243,242.04540085,1.35192394
244,243.39732479,1.36319677
245,244.76052156,1.10573361
246,245.86625516,0.61601208
247,246.48226724,0.59571956
248,247.07798680,1.43896947
249,248.51695627,0.84999758
250,249.36695385,1.39220873
251,250.75916259,0.71265220
252,251.47181478,1.21495867
253,252.68677346,0.80499703
254,253.49177049,0.90029817
255,254.39206866,0.59781444
256,254.98988310,1.99343293
257,256.98331603,0.69392261
258,257.67723865,0.70269036
259,258.37992900,1.16727933
260,259.54720833,0.68485135
261,260.23205969,1.28246831
262,261.51452800,0.88792508
263,262.40245308,1.20471206
264,263.60716514,1.32968266
265,264.93684780,0.44697535
266,265.38382315,0.97339390
267,266.35721705,0.74453775
268,267.10175480,1.49668741
269,268.59844222,1.20359249
270,269.80203471,0.90271524
271,270.70474995,0.46839176
272,271.17314171,1.55123365
273,272.72437535,0.63912603
274,273.36350138,0.73262711
275,274.09612849,1.63322193
276,275.72935041,1.02386056
277,276.75321097,0.90866240
278,277.66187337,0.74300339
279,278.40487675,0.73283002
280,279.13770677,1.23827091
281,280.37597768,1.51199723
282,281.88797491,0.45259344
283,282.34056835,1.31526543
284,283.65583379,0.99757407
285,284.65340785,0.65524578
286,285.30865363,1.05839816
287,286.36705179,0.78648652
288,287.15353831,1.99192989
289,289.14546821,0.35446277
290,289.49993097,0.98782569
291,290.48775666,0.74879858
292,291.23655524,1.28651434
293,292.52306958,0.77145741
294,293.29452699,1.33296824
295,294.62749523,0.99470749
296,295.62220272,0.96222760
297,296.58443032,1.26464377
298,297.84907410,0.29650045
299,298.14557454,0.86241065
300,299.00798520,1.75762244
301,300.76560764,0.93256804
302,301.69817568,0.97653044
303,302.67470612,0.65463153
304,303.32933765,1.11398069
305,304.44331834,1.04810672
306,305.49142506,0.76884661
307,306.26027167,1.22237077
308,307.48264244,1.44553724
309,308.92817968,0.79025082
310,309.71843050,0.47482514
311,310.19325564,1.25092660
312,311.44418224,0.66065388
313,312.10483613,1.65768502
314,313.76252114,1.14610364
315,314.90862478,0.24709209
316,315.15571687,1.57043321
317,316.72615009,0.74028089
318,317.46643098,0.85476320
319,318.32119418,0.80849918
320,319.12969336,1.70031917
321,320.83001252,0.85806718
322,321.68807971,1.06307142
323,322.75115112,0.51286873
324,323.26401985,0.88589834
325,324.14991818,1.48239726
326,325.63231544,0.74754866
327,326.37986410,1.30380310
328,327.68366720,0.92962156
329,328.61328877,0.95612352
330,329.56941228,1.02679153
331,330.59620382,0.54737880
332,331.14358261,1.00887551
333,332.15245813,1.82188279
334,333.97434092,0.77058616
335,334.74492708,0.61171887
336,335.35664595,1.01575111
337,336.37239706,1.26988280
338,337.64227986,0.45980578
339,338.10208564,1.54428644
340,339.64637209,0.76346122
341,340.40983330,1.49249779
342,341.90233109,0.70947052
343,342.61180161,0.76015934
344,343.37196095,0.71985397
345,344.09181492,1.28486959
346,345.37668451,1.47674181
347,346.85342632,0.71072950
348,347.56415582,1.05567140
349,348.61982722,0.68124418
350,349.30107140,1.33070464
351,350.63177604,0.76318120
352,351.39495723,0.65099571
353,352.04595295,1.87920884
354,353.92516179,0.78280600
355,354.70796779,0.79535066
356,355.50331845,1.05010755
357,356.55342601,0.48685756
358,357.04028357,1.38642994
359,358.42671350,1.28077527
360,359.70748878,0.91498908
361,360.62247785,0.77491438
362,361.39739223,1.57495174
363,362.97234396,0.24345134
364,363.21579531,1.04144607
365,364.25724138,0.97025710
366,365.22749848,1.45206894
367,366.67956742,1.37691504
368,368.05648246,0.38846624
369,368.44494869,0.73725864
370,369.18220734,1.30008901
371,370.48229635,0.92076315
372,371.40305950,0.98205824
373,372.38511774,1.26133437
374,373.64645211,1.00092897
375,374.64738108,1.04266011
376,375.69004119,0.75609974
377,376.44614092,1.04170242
378,377.48784334,0.34792720
379,377.83577054,2.20246646
380,380.03823700,0.48228516
381,380.52052216,1.04095629
382,381.56147845,0.92826815
383,382.48974660,0.89674738
384,383.38649398,1.10204156
385,384.48853554,0.77998968
386,385.26852522,1.17087346
387,386.43939867,1.44455587
388,387.88395455,0.81474199
389,388.69869654,0.87012999
390,389.56882653,0.47019937
391,390.03902590,1.35717056
392,391.39619647,1.00146913
393,392.39766560,1.58704867
394,393.98471426,0.43542261
395,394.42013688,0.97641114
396,395.39654801,1.32784304
397,396.72439106,0.81214179
398,397.53653284,0.42480880
399,397.96134164,1.44704919
400,399.40839084,1.60535437
401,401.01374521,0.52800606
402,401.54175127,1.05287480
403,402.59462606,0.71601486
404,403.31064092,0.88915199
405,404.19979292,1.34363333
406,405.54342625,1.05207427
407,406.59550052,0.82693629
408,407.42243681,1.47910737
409,408.90154418,0.54286715
410,409.44441134,1.01597572
411,410.46038705,0.89315002
412,411.35353707,0.67413271
413,412.02766978,1.87863345
414,413.90630323,0.87355802
415,414.77986125,0.75406562
416,415.53392687,0.69469097
417,416.22861784,1.35638912
418,417.58500696,0.82025585
419,418.40526281,0.79562383
420,419.20088664,1.56698949
421,420.76787613,0.72241163
422,421.49028776,1.43012800
423,422.92041576,0.57961121
424,423.50002697,0.63928885
425,424.13931582,1.00424283
426,425.14355865,1.52937432
427,426.67293297,1.03297857
428,427.70591154,0.95044971
429,428.65636126,0.71997356
430,429.37633481,1.24836784
431,430.62470265,0.69940145
432,431.32410410,1.18453100
433,432.50863510,0.54156549
434,433.05020059,1.88503562
435,434.93523621,1.02032538
436,435.95556160,0.26724704
437,436.22280864,1.25443662
438,437.47724526,0.75766889
439,438.23491415,1.06070560
440,439.29561975,1.49374703
441,440.78936678,0.73962446
442,441.52899124,0.97615905
443,442.50515028,1.15860825
444,443.66375853,1.00853803
445,444.67229656,0.50420851
446,445.17650507,0.89856329
447,446.07506836,1.62373807
448,447.69880643,1.10193037
449,448.80073680,0.87756027
450,449.67829706,0.89377264
451,450.57206971,0.43220935
452,451.00427906,1.83642565
453,452.84070470,0.23632537
