peak_index,period_candidate,fwhm,amplitude_real,amplitude_imag,modulus,phase_rad,prominence,snr
3158,3.323707,0.005377,30.099706,-0.346207,30.101697,-0.011501,26.035924,13.945834
3118,3.288032,0.004752,30.864881,0.574721,30.870231,0.018618,25.769218,14.301889
4803,4.795335,0.008045,-21.814645,-13.614811,25.714623,-2.583631,25.164945,11.913344
3177,3.340915,0.005293,28.998528,-0.049262,28.998569,-0.001699,24.841467,13.434765
3167,3.332346,0.005188,-29.370836,-0.470608,29.374606,-3.125571,24.004025,13.608979
3187,3.349492,0.005240,-28.175229,0.466053,28.179083,3.125053,23.871592,13.055105
3322,3.470990,0.005565,24.554547,-3.452841,24.796127,-0.139703,21.683773,11.487813
3242,3.399468,0.005100,-25.129251,-0.495423,25.134134,-3.121880,21.670324,11.644409
3224,3.382970,0.004847,-26.733503,-0.443473,26.737181,-3.125006,21.524131,12.387085
3252,3.407625,0.005063,24.690832,-0.421676,24.694432,-0.017077,21.212285,11.440699
3233,3.391246,0.004991,25.695927,0.229681,25.696954,0.008938,21.013834,11.905158
3261,3.415749,0.004971,-24.341518,0.377688,24.344448,3.126078,20.310858,11.278554
2541,2.772589,0.008917,5.253655,-18.574480,19.303165,-1.295154,19.132074,8.942975
2957,3.144136,0.004000,-47.202455,1.099225,47.215252,3.118309,18.408945,21.874383
3340,3.486993,0.004831,20.858980,0.387133,20.862572,0.018557,17.901084,9.665434
3296,3.447790,0.004826,-22.519904,-0.567211,22.527046,-3.116411,17.880318,10.436569
3332,3.479203,0.004778,-21.176550,0.340400,21.179285,3.125520,17.552982,9.812164
3366,3.510083,0.004701,-20.005990,-0.161965,20.006646,-3.133497,16.992917,9.268891
3349,3.494723,0.004610,-20.703338,0.050869,20.703401,3.139136,16.852523,9.591691
3383,3.525315,0.004679,-19.371499,-0.198177,19.372513,-3.131363,16.523672,8.975104
3358,3.502420,0.004688,20.123780,-0.434491,20.128470,-0.021588,16.480546,9.325332
3305,3.455740,0.004674,22.056450,0.519790,22.062574,0.023562,16.184628,10.221384
3400,3.540428,0.004608,-18.818437,-0.084843,18.818629,-3.137084,15.930336,8.718494
4840,4.828403,0.007427,-7.869790,15.312093,17.216090,2.045549,15.522327,7.976053
3375,3.517719,0.004498,19.598818,-0.333297,19.601652,-0.017004,15.319100,9.081261
3425,3.562877,0.004577,17.948343,0.185659,17.949304,0.010344,15.227829,8.315744
3392,3.532890,0.004469,18.957628,-0.360060,18.961046,-0.018991,14.777287,8.784475
3408,3.547937,0.004579,18.233845,0.495338,18.240572,0.027159,14.776750,8.450686
3417,3.555424,0.004470,-18.221384,0.147651,18.221982,3.133490,14.762347,8.442073
3450,3.585096,0.004488,-17.264075,0.016060,17.264082,3.140662,14.515706,7.998287
3196,3.357667,0.003553,28.507764,0.678925,28.515847,0.023811,14.443433,13.211125
3458,3.592371,0.004393,17.032108,0.158035,17.032841,0.009278,14.154209,7.891156
3433,3.570297,0.004488,-17.418677,-0.489818,17.425563,-3.113480,13.833995,8.073100
3442,3.577706,0.004407,17.344065,-0.211270,17.345352,-0.012180,13.829976,8.035939
3499,3.628718,0.004439,-15.748610,0.086564,15.748848,3.136096,13.192396,7.296293
3507,3.636006,0.004417,15.451249,0.010095,15.451252,0.000653,13.005654,7.158420
4354,4.393668,0.009741,2.965316,-13.063611,13.395934,-1.347588,12.927850,6.206210
3515,3.643183,0.004370,-15.368082,0.032575,15.368116,3.139473,12.896850,7.119904
3270,3.423840,0.003807,23.908253,-1.918821,23.985129,-0.080086,12.770814,11.112085
2610,2.833529,0.003972,28.685229,-72.103280,77.599777,-1.192157,12.748626,35.951249
