run_block,prime,repetition,period_theoretical,period_observed,absolute_error,error_in_fwhm,fwhm_instrument,amplitude_real,amplitude_imag,z_primary,p_adjusted,coefficient_theoretical,fit_coefficient_real,fit_coefficient_imag,fit_ratio_to_theory,fit_phase_error_rad,detection_limit_coefficient,predicted_detectable,z_predicted,clearly_detectable,detected,inconclusive_candidate_within_tolerance,resolved,nearest_neighbor_separation,ratio_to_theory__band_no_conjugate,ratio_to_theory__centers_conjugate
d06,2,1,0.6931471805599453,0.6931468284853521,3.5207459314623435e-07,4.277618879622021e-05,0.008230620891063216,30.428103468544922,-48.15620779116037,5.0979548966413475,0.001,-0.1560129290391036,-0.15601292936825478,-6.4513918374142776e-09,1.0000000021097686,4.1351648632827936e-08,0.10067083358603027,True,5.114549989012506,True,True,False,True,0.4054651081081645,1.0000000028565947,0.9999999882017182
d06,3,1,1.0986122886681098,1.0986120275779045,2.6109020523357174e-07,3.1721811597113256e-05,0.008230620891063216,-70.26687804745008,22.29120087046061,6.352459519971691,0.001,-0.20189889986939866,-0.20189891939607074,-8.133192869186345e-09,1.000000096715099,4.028348885429757e-08,0.10477705428121249,True,6.35943115212798,True,True,False,True,0.2876820724517808,1.0000000959241628,0.9999992642326428
d06,2,2,1.3862943611198906,1.3862945033609138,1.422410231821658e-07,1.728193110395969e-05,0.008230620891063216,17.293505506720244,36.378238257027,3.38264819675744,0.017,-0.1103178000763258,-0.11031780812639155,1.6540446595714187e-08,1.0000000729715943,-1.4993451081591113e-07,0.10663666980503864,True,3.4142044237540983,False,True,False,True,0.2231435513142097,1.000000093938076,0.9999994475905336
d06,5,1,1.6094379124341003,1.6094382386238644,3.261897640882694e-07,3.963124634284216e-05,0.008230620891063216,30.12165668613814,-78.04110339016822,6.93944873837559,0.001,-0.22910752440522542,-0.2291075277972105,-8.14257480885594e-10,1.0000000148052104,3.5540407105536757e-09,0.108469187958842,True,6.970813533109262,True,True,False,True,0.2231435513142097,1.0000000104128368,0.9999998894653728
d06,7,1,1.9459101490553132,1.9459104218031644,2.7274785119324463e-07,3.313818663296635e-05,0.008230620891063216,-46.835777570301325,-71.50666552421694,7.117144057982529,0.001,-0.23411211608563706,-0.23411211393440928,2.0164225844609973e-09,0.9999999908111216,-8.61306384609356e-09,0.10779233831148456,True,7.16781023976296,True,True,False,True,0.13353139262452252,0.9999999908191479,1.0000000702819585
d06,2,3,2.0794415416798357,,,,0.008230620891063216,,,,,-0.0780064645195518,-0.07800648074691985,-2.5412303095162514e-09,1.0000002080259391,3.257716904010688e-08,0.11194021370662922,False,2.299825923866442,False,False,False,True,0.11778303565638382,1.0000002226046336,0.9999984194696329
d06,3,2,2.1972245773362196,2.1972242525487546,3.2478746492259347e-07,3.946087047639951e-05,0.008230620891063216,-34.777698806987964,24.53470181972913,3.3917324172473915,0.017,-0.1165663841886866,-0.11656639901708253,-1.5546310150674203e-08,1.0000001272098815,1.333687090084668e-07,0.11290325729075948,True,3.407354779883498,False,True,False,True,0.11778303565638382,1.000000122709978,0.999999021642966
d06,11,1,2.3978952727983707,2.3978949117056163,3.61092754364023e-07,4.3871872990298514e-05,0.008230620891063216,-65.37736899071557,-52.787276722269105,6.630911130586711,0.001,-0.23013570108523157,-0.23013568152787117,-1.0230105061681538e-08,0.999999915018138,4.445249425801269e-08,0.11414457543414278,True,6.653945219576675,True,True,False,True,0.16705408466316607,0.9999999077941755,1.0000006510788175
d06,13,1,2.5649493574615367,2.5649495181344513,1.6067291452870336e-07,1.9521360132521903e-05,0.008230620891063216,-48.68841861632252,-66.82295708529035,6.427507127427815,0.001,-0.22644213759952758,-0.22644212186333726,-1.553706439547109e-08,0.999999930506793,6.861384387153914e-08,0.11622762505172674,True,6.4298136181875005,True,True,False,True,0.16705408466316607,0.9999999224393311,1.0000005292869887
d06,2,4,2.772588722239781,,,,0.008230620891063216,,,,,-0.0551589000381629,-0.05515889334622568,7.844645030785635e-09,0.9999998786789219,-1.4221904311142897e-07,0.11803903174906755,False,1.5421991539067503,False,False,False,True,0.06062462181643502,0.9999999040553178,1.0000009249472106
d06,17,1,2.833213344056216,2.8332130822328785,2.618233376772139e-07,3.181088536850251e-05,0.008230620891063216,76.85043356540892,-21.727400560086704,5.919618515100573,0.001,-0.21872828371837585,-0.21872826346861113,1.1078373302053635e-08,0.9999999074204562,-5.0649025079666675e-08,0.12180145615114278,True,5.926563837857912,True,True,False,True,0.06062462181643502,0.9999999073023146,1.0000007043571686
d06,19,1,2.9444389791664403,2.944438902811871,7.635456933385854e-08,9.276890570523557e-06,0.008230620891063216,48.25844394903421,61.92474249193277,5.88970035426074,0.001,-0.21501852841127717,-0.21501851037566624,-1.471399658364847e-08,0.9999999161206662,6.843130183508907e-08,0.12045928255894872,True,5.890960556600752,True,True,False,True,0.1112256351102241,0.9999999084568413,1.0000006380914475
d06,23,1,3.1354942159291497,3.13549387258733,3.433418198639515e-07,4.1715178527631016e-05,0.008230620891063216,-55.40504683115596,-52.00094186808203,5.474184713202254,0.001,-0.20810964733659634,-0.20810966846138143,1.0703697504721443e-08,1.0000001015079567,-5.143296601189724e-08,0.12477219048069554,True,5.504589224155331,True,True,False,True,0.08338160893905089,1.000000108122769,0.9999992327153565
d06,5,2,3.2188758248682006,,,,0.008230620891063216,,,,,-0.10245999974535523,-0.10246002148815972,1.0036370887145374e-08,1.0000002122077352,-9.795401895660488e-08,0.12356972345136859,False,2.736483145853292,False,False,False,True,0.07696104113612856,1.000000225425858,0.999998397441877
d06,3,3,3.295836866004329,,,,0.008230620891063216,,,,,-0.06729963328979954,-0.06729964056181453,-2.2107597918985533e-08,1.0000001080543033,3.2849503703781256e-07,0.12806884557618162,False,1.7342819533935383,False,False,False,True,0.07145896398214502,1.0000001005636887,0.9999991767926321
d06,29,1,3.367295829986474,3.3672957584235252,7.156294890009463e-08,8.694720586365176e-06,0.008230620891063216,69.14371547246047,-22.37117691369485,5.198155306072349,0.001,-0.1990363509339811,-0.1990363708851777,-1.3586514580055109e-08,1.000000100238959,6.82614665833765e-08,0.12635197829073455,True,5.1987730237628975,True,True,False,True,0.06669137449867213,1.0000000997464653,0.9999992440582871
d06,31,1,3.4339872044851463,3.4339868706032037,3.3388194253802794e-07,4.056582692328303e-05,0.008230620891063216,-57.38085152148433,-42.961675241078105,5.061603383620003,0.001,-0.1963215403858554,-0.19632152811451892,-2.0102304543190286e-09,0.9999999374936828,1.0239480476875742e-08,0.1277780572215171,True,5.070632949526282,True,True,False,True,0.03174869831458027,0.9999999351486965,1.0000004845341033
d06,2,5,3.4657359027997265,,,,0.008230620891063216,,,,,-0.0390032322597759,-0.03900324755820596,1.9576959539580052e-08,1.0000003922349296,-5.019315253265257e-07,0.12620874491350165,False,1.0199095378933387,False,False,False,True,0.03174869831458027,1.0000004266990392,0.9999970567059765
d06,37,1,3.6109179126442243,3.61091757084595,3.417982741282799e-07,4.152764155367713e-05,0.008230620891063216,53.03002556146843,44.134897026399024,4.8097768678006885,0.001,-0.1889586950119591,-0.1889586715494339,-8.38014470316839e-09,0.9999998758325188,4.43490877367649e-08,0.12932733823654233,True,4.821998197197278,False,True,False,True,0.1026541540600836,0.9999998693868675,1.0000009628124864
d06,41,1,3.713572066704308,3.713571961249288,1.0545501982761607e-07,1.2812523043324572e-05,0.008230620891063216,-67.3716642720544,-2.115284981626749,4.515419404188681,0.001,-0.184607803637099,-0.18460778672204708,4.412680471022057e-09,0.9999999083730396,-2.3903002952231726e-08,0.13369929888681809,True,4.556920242326822,False,True,False,True,0.047628048989254435,0.9999999079431551,1.0000006911922614
