run_block,prime,repetition,period_theoretical,period_observed,absolute_error,error_in_fwhm,fwhm_instrument,amplitude_real,amplitude_imag,z_primary,p_adjusted,coefficient_theoretical,fit_coefficient_real,fit_coefficient_imag,fit_ratio_to_theory,fit_phase_error_rad,detection_limit_coefficient,predicted_detectable,z_predicted,clearly_detectable,detected,inconclusive_candidate_within_tolerance,resolved,nearest_neighbor_separation,ratio_to_theory__band_no_conjugate,ratio_to_theory__centers_conjugate
b07,2,1,0.6931471805599453,0.6931474877398406,3.071798952980487e-07,4.1598848726218934e-05,0.007384336458918375,-5.746119183860797,-63.231712066317336,5.505672440921663,0.001,-0.1560129290391036,-0.15601292676807368,1.2571299178726347e-08,0.9999999854433224,-8.057857409094447e-08,0.0919414031252811,True,5.518933992188981,True,True,False,True,0.4054651081081645,1.0000000180248212,1.0000001137062389
b07,3,1,1.0986122886681098,1.0986122199442034,6.872390634349301e-08,9.30671384298751e-06,0.007384336458918375,33.37948285203263,75.08078145872162,7.007795504706277,0.001,-0.20189889986939866,-0.20189890938739743,1.2130122246933883e-08,1.0000000471424004,-6.008017717252232e-08,0.09274258864854333,True,7.080443722862662,True,True,False,True,0.2876820724517808,1.0000000493557328,0.999999641368365
b07,2,2,1.3862943611198906,1.3862946049457134,2.4382582286541776e-07,3.301932735891781e-05,0.007384336458918375,44.16035379469584,-8.09298846402872,3.790167928028124,0.001,-0.1103178000763258,-0.11031780761800525,-6.003074370930506e-09,1.0000000683632146,5.441618629439407e-08,0.09452071166305379,True,3.7959837657130024,False,True,False,True,0.2231435513142097,1.0000000509633302,0.9999994774526804
b07,5,1,1.6094379124341003,1.6094378181119204,9.432217984439717e-08,1.2773277649135326e-05,0.007384336458918375,66.45457647681708,65.40169379336407,7.850795445285378,0.001,-0.22910752440522542,-0.22910753569551343,1.4024145011948264e-08,1.0000000492794292,-6.121206345035503e-08,0.09489687471863353,True,7.85223302496037,True,True,False,True,0.2231435513142097,1.0000000737837635,0.9999996245205705
b07,7,1,1.9459101490553132,1.9459102545646112,1.0550929796515618e-07,1.4288257117229288e-05,0.007384336458918375,90.19214928347529,-30.706765328412832,7.629003364695776,0.001,-0.23411211608563706,-0.234112128152885,-8.81655982942764e-09,1.0000000515447391,3.765956039522246e-08,0.09900713928691644,True,7.690651199158512,True,True,False,True,0.13353139262452252,1.0000000465499288,0.999999607643084
b07,2,3,2.0794415416798357,,,,0.007384336458918375,,,,,-0.0780064645195518,-0.07800647263307421,2.0970190167668434e-08,1.000000104010898,-2.6882628402270183e-07,0.09697068073948119,False,2.616350277878739,False,False,False,True,0.11778303565638382,1.000000137142243,0.9999992091810431
b07,3,2,2.1972245773362196,2.197224283782758,2.9355346153892015e-07,3.975353278822815e-05,0.007384336458918375,31.780913753369987,-35.21950705137191,3.7424985016145933,0.001,-0.1165663841886866,-0.11656638919811613,1.8261772927186115e-09,1.000000042974907,-1.566641383748142e-08,0.10101357054976141,True,3.753179532133197,False,True,False,True,0.11778303565638382,1.000000051165682,0.9999996855914065
b07,11,1,2.3978952727983707,2.397895471764552,1.9896618130843535e-07,2.694435477247729e-05,0.007384336458918375,-8.263523466790776,93.29255203540804,7.139767980651664,0.001,-0.23013570108523157,-0.23013570071779343,-2.2846283713809368e-08,0.9999999984033849,9.927309688393289e-08,0.10476177925931125,True,7.144747201655113,True,True,False,True,0.16705408466316607,0.9999999899754495,1.0000000134041447
b07,13,1,2.5649493574615367,2.56494951258843,1.5512689310881456e-07,2.100756025566268e-05,0.007384336458918375,75.3988197888941,-52.98594798759426,7.011219832774109,0.001,-0.22644213759952758,-0.22644212340449793,6.4984703243564645e-09,0.9999999373127731,-2.8698151327384086e-08,0.10499134750909672,True,7.014705987143754,True,True,False,True,0.16705408466316607,0.9999999308430939,1.0000004775998792
b07,2,4,2.772588722239781,,,,0.007384336458918375,,,,,-0.0551589000381629,-0.05515888386358671,3.6658430978275813e-09,0.9999997067639822,-6.645970405952308e-08,0.10782460688300832,False,1.6638089271491403,False,False,False,True,0.06062462181643502,0.9999996640487769,1.000002241360658
