peak_id,grid_period,period,fwhm_instrument,z,p_adjusted_primary,class_primary,detected_primary,z_secondary,p_adjusted_secondary,class_secondary,detected_secondary,z_refined,amplitude_real,amplitude_imag,modulus,phase_rad,null_noise_rms
0,0.6929157899892425,0.6931474877398406,0.007384336458918375,5.505672440921663,0.001,detected,True,7.796820734967589,0.005,detected,True,5.518930004688032,-5.746119183860797,-63.231712066317336,63.4922617057606,-1.6614214197285904,11.501703577047989
1,1.0990542952297533,1.0986122199442034,0.007384336458918375,7.007795504706277,0.001,detected,True,8.153935024787733,0.005,detected,True,7.080441280832547,33.37948285203263,75.08078145872162,82.16637767311796,1.1524580393449988,11.612388432417816
2,1.386120375070205,1.3862946049457134,0.007384336458918375,3.790167928028124,0.001,detected,True,3.952579578597634,0.005,detected,True,3.7959821105996623,44.16035379469584,-8.09298846402872,44.89580503289376,-0.18125237466174363,11.827646090326091
3,1.6094965529524858,1.6094378181119204,0.007384336458918375,7.850795445285378,0.001,detected,True,7.580257292668593,0.005,detected,True,7.85223135170184,66.45457647681708,65.40169379336407,93.23943525008121,0.7774132544934917,11.874415902059946
4,1.945483861833272,1.9459102545646112,0.007384336458918375,7.629003364695776,0.001,detected,True,7.108425611775362,0.005,detected,True,7.690641536697089,90.19214928347529,-30.706765328412832,95.27606850257261,-0.32815024841953594,12.377073344713477
5,2.1974743434938615,2.197224283782758,0.007384336458918375,3.7424985016145933,0.001,detected,True,3.2632612369288942,0.075,inconclusive,False,3.7531787394119456,31.780913753369987,-35.21950705137191,47.43880432663514,-0.8366751404376465,12.636721890231563
6,2.3977744699420223,2.397895471764552,0.007384336458918375,7.139767980651664,0.001,detected,True,6.08020329842122,0.005,detected,True,7.144740934367033,-8.263523466790776,93.29255203540804,93.65781379770466,1.6591422147541863,13.108318252876211
7,2.5648450823250504,2.56494951258843,0.007384336458918375,7.011219832774109,0.001,detected,True,6.055373029761473,0.005,detected,True,7.014704959605579,75.3988197888941,-52.98594798759426,92.15472158116573,-0.6125641346372391,13.136840915925914
8,2.8334503210182063,2.833213036992082,0.007384336458918375,6.5403712670069005,0.001,detected,True,5.538746737884783,0.005,detected,True,6.560743934278981,-11.934435640087079,88.2118041954369,89.01546581050665,1.7052727548520792,13.572464220523608
9,2.944215367901982,2.9444392728242166,0.007384336458918375,6.371754879219641,0.001,detected,True,5.287616738332457,0.005,detected,True,6.385228790133816,-83.19249909121716,27.134103531066557,87.50572255273826,2.826311519042508,13.69951363234384
10,3.135285073776495,3.135494505996378,0.007384336458918375,5.987830444720743,0.001,detected,True,4.978521646489087,0.005,detected,True,5.998748232650006,84.28958448391697,8.266652735484042,84.69398797978792,0.09776178374814838,14.113836698056625
11,3.3669686301750588,3.3672961051864316,0.007384336458918375,5.362712602351344,0.001,detected,True,4.599774648573414,0.005,detected,True,5.390619336193383,54.23928760759551,60.16101911620701,81.00153419090337,0.8371152540412546,15.024935778489981
12,3.434350700362689,3.4339869726096106,0.007384336458918375,5.482822798169529,0.001,detected,True,4.362660709132549,0.005,detected,True,5.514496402521514,-77.69661284026493,18.619925285275478,79.89659106920183,2.9063794645607732,14.477385809277758
13,3.6106517333193655,3.6109182082528792,0.007384336458918375,4.885953162103222,0.001,detected,True,4.171959615538674,0.005,detected,True,4.901946616246876,76.65154702073247,-6.180593879658414,76.90032120464018,-0.08045827642151615,15.68409674999209
14,3.7140324437442227,3.713572066341084,0.007384336458918375,4.79625952384161,0.001,detected,True,4.069541408719998,0.005,detected,True,4.846696418583389,-71.4271032803421,-23.294310827961382,75.129594701225,-2.8263417099174384,15.501063473076771
15,3.761107588669827,3.761200262370064,0.007384336458918375,4.83912086362567,0.001,detected,True,3.865115604871984,0.005,detected,True,4.84096252539075,58.23469124425308,-46.14734403760922,74.30246715983901,-0.6701125246279293,15.348050557066903
16,3.8497196261768476,3.8501477095633154,0.007384336458918375,4.561184063203245,0.001,detected,True,3.7438804234628194,0.015,detected,True,4.60209535696867,58.11592893272333,43.763618676349466,72.7510516443733,0.6454438665563625,15.806381481910854
